Categoria: Todas as categorias

País,China Flood: (01/01/2020 – 30/11/2021)
Singapura,100
Fiji,
Brunei,64
Mianmar (Birmânia),45
China,35
Malásia,35
Namíbia,
Bahamas,
Maurício,
Índia,26
Filipinas,22
Hong Kong,16
Jamaica,
Omã,16
Zimbábue,
Paquistão,15
Catar,15
Austrália,14
Canadá,14
Emirados Árabes Unidos,14
Trinidad e Tobago,
Estados Unidos,12
Barein,
Nepal,11
Nova Zelândia,9
Kuwait,8
Coreia do Sul,8
Sri Lanka,8
Camboja,
Gana,
Nigéria,5
Bangladesh,5
Reino Unido,4
África do Sul,4
Quênia,
Irlanda,4
Tailândia,4
Taiwan,2
Finlândia,2
Suíça,2
Vietnã,2
Noruega,1
Indonésia,1
Sérvia,
Arábia Saudita,1
Croácia,
Países Baixos,1
Tchéquia,1
Suécia,1
Áustria,1
Dinamarca,
Romênia,
Alemanha,<1
Polônia,<1
Bélgica,
Japão,<1
Grécia,
França,<1
México,<1
Itália,<1
Espanha,<1
Irã,
Turquia,<1
Colômbia,
Brasil,<1
Rússia,
Aruba,
Líbano,
Saara Ocidental,
Egito,
Estônia,
Etiópia,
Equador,
Argélia,
Ilhas Malvinas (Ilhas Falkland),
República Dominicana,
Ilhas Faroé,
Micronésia,
Gabão,
Dominica,
Geórgia,
Guernsey,
Djibuti,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Chipre,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Ilhas Cayman,
Ilhas Heard e McDonald,
Honduras,
Ilha Christmas,
Haiti,
Hungria,
Curaçao,
Ilha de Man,
Cuba,
Território Britânico do Oceano Índico,
Costa Rica,
Cabo Verde,
Iraque,
Islândia,
Israel,
Comores,
Ilhas Cook,
Jersey,
Jordânia,
República do Congo,
Cazaquistão,
Congo - Kinshasa,
Quirguistão,
Camarões,
Quiribati,
São Cristóvão e Névis,
Costa do Marfim,
Chile,
Laos,
Ilhas Cocos (Keeling),
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
República Centro-Africana,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Botsuana,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Ilha Bouvet,
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Butão,
Malaui,
Barbados,
Eritreia,
Bolívia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Bermudas,
Nicarágua,
Niue,
Belize,
Bielorrússia,
São Bartolomeu,
Nauru,
Bósnia e Herzegovina,
Bulgária,
Burquina Faso,
Panamá,
Ilhas Pitcairn,
Peru,
Países Baixos Caribenhos,
Palau,
Papua-Nova Guiné,
Benin,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Burundi,
Reunião,
Azerbaijão,
Antígua e Barbuda,
Ruanda,
Territórios Franceses do Sul,
Sudão,
Senegal,
Antártida,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Samoa Americana,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Armênia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Argentina,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Andorra,
Tunísia,
Albânia,
Tuvalu,
Ilhas Aland,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Mayotte,
