Categoria: Todas as categorias

País,Japan Flood: (01/01/2020 – 30/11/2021)
Djibuti,
Singapura,100
Trinidad e Tobago,
Filipinas,80
Malásia,40
Nepal,
Emirados Árabes Unidos,20
Austrália,20
Hong Kong,20
Nova Zelândia,10
Canadá,10
Paquistão,10
Bangladesh,10
Índia,10
Irlanda,10
Estados Unidos,10
Reino Unido,10
Japão,10
Nigéria,10
Indonésia,<1
Coreia do Sul,<1
Tailândia,<1
África do Sul,<1
Tchéquia,
Suíça,
Bélgica,
Vietnã,<1
Arábia Saudita,<1
Países Baixos,<1
Alemanha,<1
Rússia,
França,<1
Brasil,<1
Líbano,
Zimbábue,
Butão,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
Barbados,
Ilhas Cocos (Keeling),
Bolívia,
Chile,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Bermudas,
Belize,
Bielorrússia,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Espanha,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
São Bartolomeu,
Ilhas Faroé,
Micronésia,
Gabão,
Bósnia e Herzegovina,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Bahamas,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Barein,
Ilha de Man,
Bulgária,
Território Britânico do Oceano Índico,
Burquina Faso,
Irã,
Iraque,
Islândia,
Israel,
Itália,
Jamaica,
Jersey,
Jordânia,
Países Baixos Caribenhos,
Cazaquistão,
Quênia,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Benin,
Kuwait,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Brunei,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Burundi,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Azerbaijão,
Nicarágua,
Niue,
Áustria,
Noruega,
Antígua e Barbuda,
Nauru,
Territórios Franceses do Sul,
Omã,
Antártida,
Panamá,
Ilhas Pitcairn,
Peru,
Samoa Americana,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Romênia,
Armênia,
Ruanda,
Argentina,
Sudão,
Senegal,
Andorra,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Suécia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Albânia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Ilhas Aland,
Tunísia,
Turquia,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
México,
