Categoria: Todas as categorias

País,Somalia Drought: (01/01/2021 – 30/11/2022)
Somália,100
Quênia,3
Etiópia,2
África do Sul,<1
Reino Unido,<1
Irlanda,<1
Nigéria,<1
Noruega,<1
Suécia,<1
Canadá,<1
Austrália,<1
Suíça,<1
Egito,
Países Baixos,<1
Paquistão,<1
Estados Unidos,<1
Índia,<1
Turquia,<1
Alemanha,<1
Líbano,
Zimbábue,
Burquina Faso,
Bangladesh,
Bulgária,
Barein,
Bahamas,
Bósnia e Herzegovina,
São Bartolomeu,
Bielorrússia,
Belize,
Bermudas,
Bolívia,
Brasil,
Barbados,
Brunei,
Butão,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
Benin,
Ilhas Cocos (Keeling),
Bélgica,
Chile,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Burundi,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Azerbaijão,
Eritreia,
Saara Ocidental,
Espanha,
Estônia,
Áustria,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
França,
Ilhas Faroé,
Micronésia,
Gabão,
Antígua e Barbuda,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Hong Kong,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Indonésia,
Ilha de Man,
Territórios Franceses do Sul,
Território Britânico do Oceano Índico,
Antártida,
Irã,
Iraque,
Islândia,
Israel,
Itália,
Jamaica,
Jersey,
Jordânia,
Japão,
Cazaquistão,
Samoa Americana,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Coreia do Sul,
Kuwait,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Países Baixos Caribenhos,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
México,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Malásia,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Armênia,
Nicarágua,
Niue,
Argentina,
Emirados Árabes Unidos,
Nepal,
Nauru,
Nova Zelândia,
Omã,
Andorra,
Panamá,
Ilhas Pitcairn,
Peru,
Filipinas,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Romênia,
Rússia,
Ruanda,
Arábia Saudita,
Sudão,
Senegal,
Singapura,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Albânia,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Ilhas Aland,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Tailândia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Anguila,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Afeganistão,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Vietnã,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Macau,
