Categoria: Todas as categorias

País,Japan Earthquake: (01/01/2021 – 30/09/2022)
Guam,
Singapura,100
Butão,
Filipinas,84
Brunei,
Nova Zelândia,70
Fiji,
Trinidad e Tobago,55
Irlanda,48
Islândia,
Maldivas,
Papua-Nova Guiné,
Austrália,41
Mongólia,
Malásia,38
Jersey,
Belize,
Japão,34
Nepal,33
Mianmar (Birmânia),33
Jamaica,
Hong Kong,32
Canadá,30
Estados Unidos,30
Zimbábue,
Porto Rico,29
Botsuana,
Malta,
Maurício,
Reino Unido,26
Emirados Árabes Unidos,25
Macau,
Barbados,
Namíbia,
China,21
Croácia,20
Santa Helena,
Catar,
Bangladesh,17
Camboja,
Sri Lanka,17
Barein,
Afeganistão,
Ruanda,
Paquistão,15
Albânia,
África do Sul,14
Líbano,
Estônia,
Etiópia,
Chipre,
Luxemburgo,
Índia,12
Omã,
Kuwait,
Panamá,
Kosovo,
Gana,
Montenegro,
Noruega,9
Coreia do Sul,8
Macedônia do Norte,
Tanzânia,
Eslovênia,
Bósnia e Herzegovina,
Finlândia,8
Armênia,
Quênia,
Romênia,7
Vietnã,7
Costa Rica,
Honduras,
Dinamarca,6
Geórgia,
Suécia,6
Grécia,6
Suíça,6
Senegal,
Portugal,5
Sérvia,
Lituânia,
Indonésia,5
Bulgária,
El Salvador,
Taiwan,4
Países Baixos,4
Israel,4
Tailândia,4
Nicarágua,
Nigéria,4
Bélgica,4
Letônia,
Guatemala,
Áustria,3
Equador,
Hungria,
Eslováquia,
Tchéquia,
Azerbaijão,
Tunísia,
Jordânia,
Arábia Saudita,3
República Dominicana,
Chile,2
Argélia,
Alemanha,2
Peru,2
Egito,1
México,1
Marrocos,
Cazaquistão,
Espanha,1
Itália,1
Turquia,1
Polônia,1
França,1
Colômbia,
Iraque,
Bielorrússia,
Rússia,<1
Irã,<1
Argentina,
Venezuela,
Brasil,<1
Ucrânia,
Laos,
Aruba,
Líbia,
Santa Lúcia,
Liechtenstein,
São Cristóvão e Névis,
Lesoto,
Quiribati,
Quirguistão,
Território Britânico do Oceano Índico,
Ilha de Man,
São Martinho,
Haiti,
Mônaco,
Moldávia,
Madagascar,
Ilhas Heard e McDonald,
Guiana,
Ilhas Marshall,
Guiana Francesa,
Mali,
Groenlândia,
Granada,
Guiné Equatorial,
Guiné-Bissau,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Gâmbia,
Malaui,
Guadalupe,
Mayotte,
Guiné,
Nova Caledônia,
Níger,
Ilha Norfolk,
Gibraltar,
Guernsey,
Niue,
Gabão,
Micronésia,
Ilhas Faroé,
Nauru,
Ilhas Malvinas (Ilhas Falkland),
Saara Ocidental,
Eritreia,
Dominica,
Ilhas Pitcairn,
Djibuti,
Ilhas Cayman,
Palau,
Ilha Christmas,
Curaçao,
Cuba,
Coreia do Norte,
Cabo Verde,
Paraguai,
Palestina,
Polinésia Francesa,
Comores,
Reunião,
Ilhas Cook,
República do Congo,
Congo - Kinshasa,
Camarões,
Sudão,
Costa do Marfim,
Ilhas Cocos (Keeling),
Ilhas Geórgia do Sul e Sandwich do Sul,
República Centro-Africana,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
Ilha Bouvet,
San Marino,
Somália,
São Pedro e Miquelão,
Bolívia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Bermudas,
São Bartolomeu,
Bahamas,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Burquina Faso,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Países Baixos Caribenhos,
Benin,
Burundi,
Tuvalu,
Antígua e Barbuda,
Territórios Franceses do Sul,
Uganda,
Antártida,
Ilhas Menores Distantes dos EUA,
Uruguai,
Samoa Americana,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Andorra,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Ilhas Aland,
Vanuatu,
Wallis e Futuna,
Samoa,
Anguila,
Iêmen,
Libéria,
Zâmbia,
Angola,
