Categoria: Todas as categorias

País,Canada Heat Wave: (01/01/2021 – 30/11/2022)
Canadá,100
Jamaica,35
Reino Unido,21
Irlanda,21
Singapura,21
Quênia,21
Emirados Árabes Unidos,14
Paquistão,14
África do Sul,14
Finlândia,14
Nova Zelândia,14
Austrália,14
Índia,14
Israel,7
Hong Kong,7
Noruega,7
Suíça,7
Estados Unidos,7
Filipinas,7
Bangladesh,7
Portugal,7
Nigéria,7
Suécia,7
Bélgica,<1
Grécia,<1
Países Baixos,<1
Coreia do Sul,<1
Arábia Saudita,<1
Malásia,<1
Espanha,<1
Alemanha,<1
França,<1
Tailândia,<1
Itália,<1
Polônia,<1
México,<1
Turquia,<1
Indonésia,<1
Brasil,<1
Japão,<1
Líbano,
Zimbábue,
Chile,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
República Centro-Africana,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Botsuana,
Estônia,
Etiópia,
Ilha Bouvet,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Butão,
Ilhas Faroé,
Micronésia,
Gabão,
Brunei,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Barbados,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Bolívia,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Bermudas,
Ilha de Man,
Belize,
Território Britânico do Oceano Índico,
Bielorrússia,
Irã,
Iraque,
Islândia,
São Bartolomeu,
Bósnia e Herzegovina,
Bahamas,
Jersey,
Jordânia,
Barein,
Cazaquistão,
Bulgária,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Burquina Faso,
Kuwait,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Países Baixos Caribenhos,
Ilhas Marshall,
Macedônia do Norte,
Ilhas Cocos (Keeling),
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Benin,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Burundi,
Nicarágua,
Niue,
Azerbaijão,
Áustria,
Nepal,
Nauru,
Antígua e Barbuda,
Omã,
Territórios Franceses do Sul,
Panamá,
Ilhas Pitcairn,
Peru,
Antártida,
Palau,
Papua-Nova Guiné,
Samoa Americana,
Porto Rico,
Coreia do Norte,
Armênia,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Romênia,
Rússia,
Ruanda,
Argentina,
Sudão,
Senegal,
Andorra,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Albânia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Ilhas Aland,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Anguila,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Afeganistão,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Vietnã,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Mali,
