Categoria: Todas as categorias

País,Haiti Earthquake: (01/01/2021 – 30/11/2022)
Ilhas Turcas e Caicos,
Haiti,100
Ilhas Virgens Britânicas,
Santa Lúcia,
Dominica,
Sint Maarten,
Antígua e Barbuda,
Ilhas Cayman,
Ilhas Virgens Americanas,
Jamaica,43
Granada,
São Cristóvão e Névis,
São Vicente e Granadinas,
Trinidad e Tobago,35
Bahamas,33
Barbados,31
Bermudas,
Curaçao,
Jersey,
Irlanda,14
Belize,
Guiana,
Zimbábue,11
Estados Unidos,8
Malaui,
Porto Rico,7
Canadá,7
Reino Unido,7
Nova Zelândia,6
Islândia,
Botsuana,
Maldivas,
Malta,
Singapura,4
República Dominicana,4
Austrália,4
Namíbia,
Quênia,4
Catar,4
Santa Helena,
Ruanda,
Emirados Árabes Unidos,3
África do Sul,3
Albânia,
Filipinas,2
Croácia,2
Etiópia,
Nepal,2
Mongólia,
Macedônia do Norte,
Kuwait,
Gana,2
Líbano,
Noruega,1
Paquistão,1
Chipre,
Bangladesh,1
Hong Kong,1
Nigéria,1
Panamá,
Barein,
Uganda,
Tanzânia,
Cazaquistão,1
China,
Sri Lanka,
Bósnia e Herzegovina,
Geórgia,
Estônia,
Omã,
Camboja,
Honduras,
Mianmar (Birmânia),
Dinamarca,1
Suíça,1
Moldávia,
Costa Rica,
Suécia,<1
Letônia,
Malásia,<1
Eslovênia,
Índia,<1
Lituânia,
Portugal,<1
Países Baixos,<1
Grécia,<1
Áustria,<1
Jordânia,
Finlândia,
Romênia,
Israel,
Sérvia,
Bélgica,<1
Coreia do Sul,<1
Tchéquia,
Alemanha,<1
Bulgária,
Equador,
Eslováquia,
Hungria,
Espanha,<1
Tailândia,<1
Vietnã,<1
Arábia Saudita,
Egito,
México,<1
Colômbia,<1
Indonésia,<1
Taiwan,
Marrocos,
Iraque,
Itália,<1
França,<1
Peru,
Chile,
Polônia,<1
Rússia,<1
Venezuela,
Argentina,
Turquia,<1
Ucrânia,
Irã,
Japão,<1
Brasil,<1
Laos,
Aruba,
Angola,
Líbia,
Quirguistão,
Liechtenstein,
Território Britânico do Oceano Índico,
Lesoto,
Ilha de Man,
Luxemburgo,
Ilhas Heard e McDonald,
Macau,
São Martinho,
Guam,
Mônaco,
Guiana Francesa,
Madagascar,
Guatemala,
Groenlândia,
Ilhas Marshall,
Guiné Equatorial,
Mali,
Guiné-Bissau,
Gâmbia,
Montenegro,
Guadalupe,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Guiné,
Gibraltar,
Mayotte,
Guernsey,
Nova Caledônia,
Níger,
Ilha Norfolk,
Gabão,
Nicarágua,
Niue,
Micronésia,
Ilhas Faroé,
Ilhas Malvinas (Ilhas Falkland),
Nauru,
Fiji,
Saara Ocidental,
Eritreia,
Argélia,
Ilhas Pitcairn,
Djibuti,
Ilha Christmas,
Palau,
Papua-Nova Guiné,
Cuba,
Cabo Verde,
Coreia do Norte,
Comores,
Paraguai,
Palestina,
Polinésia Francesa,
Ilhas Cook,
Reunião,
República do Congo,
Congo - Kinshasa,
Camarões,
Costa do Marfim,
Sudão,
Senegal,
Ilhas Cocos (Keeling),
Ilhas Geórgia do Sul e Sandwich do Sul,
República Centro-Africana,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Ilha Bouvet,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Butão,
Brunei,
Bolívia,
Essuatíni,
Bielorrússia,
Seicheles,
Síria,
São Bartolomeu,
Chade,
Togo,
Burquina Faso,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Países Baixos Caribenhos,
Tunísia,
Benin,
Tuvalu,
Burundi,
Azerbaijão,
Territórios Franceses do Sul,
Antártida,
Ilhas Menores Distantes dos EUA,
Uruguai,
Samoa Americana,
Uzbequistão,
Cidade do Vaticano,
Armênia,
Andorra,
Ilhas Aland,
Anguila,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Quiribati,
