Categoria: Todas as categorias

País,Hurricane Ida: (01/01/2021 – 30/09/2022)
Bermudas,
Ilhas Cayman,
Ilhas Virgens Americanas,
Estados Unidos,100
Antígua e Barbuda,
Ilhas Virgens Britânicas,
Sint Maarten,
Belize,
Bahamas,
Santa Lúcia,
Aruba,
Guam,
Burundi,
Canadá,30
Granada,
Porto Rico,27
Jamaica,
Barbados,
Trinidad e Tobago,
Islândia,
Irlanda,11
Botsuana,
Malta,
Guiana,
Nova Zelândia,8
Reino Unido,7
Santa Helena,
Austrália,6
África do Sul,5
Suíça,5
Áustria,4
Singapura,
Costa Rica,
Finlândia,
Panamá,
Alemanha,3
Cuba,
Dinamarca,
Suécia,3
Quênia,
Noruega,
Honduras,
Israel,
Croácia,
China,
Laos,
Eslovênia,
Eslováquia,
Países Baixos,2
Líbano,
Luxemburgo,
República Dominicana,
Filipinas,2
Emirados Árabes Unidos,
Kuwait,
Hungria,
Gana,
Estônia,
Catar,
Albânia,
Tanzânia,
Nigéria,
Chipre,
Barein,
Bósnia e Herzegovina,
Guatemala,
Nicarágua,
Bélgica,
Hong Kong,
Portugal,
Uganda,
Camboja,
Sérvia,
Bulgária,
El Salvador,
Lituânia,
Grécia,
Malásia,
Tchéquia,
México,1
Romênia,
Coreia do Sul,
Paquistão,
Itália,<1
Jordânia,
Iraque,
Sri Lanka,
Geórgia,
Equador,
Nepal,
França,<1
Tunísia,
Espanha,
Bangladesh,
Índia,<1
Arábia Saudita,
Colômbia,
Polônia,
Venezuela,
Taiwan,
Egito,
Tailândia,
Peru,
Argélia,
Brasil,<1
Marrocos,
Argentina,
Chile,
Ucrânia,
Turquia,
Japão,
Vietnã,
Indonésia,
Rússia,
Irã,
Afeganistão,
Zimbábue,
Jersey,
Quirguistão,
Território Britânico do Oceano Índico,
Quiribati,
São Cristóvão e Névis,
Ilha de Man,
Haiti,
Ilhas Heard e McDonald,
Guiana Francesa,
Angola,
Líbia,
Groenlândia,
Liechtenstein,
Guiné Equatorial,
Lesoto,
Guiné-Bissau,
Gâmbia,
Letônia,
Macau,
São Martinho,
Guadalupe,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Guiné,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Gibraltar,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Guernsey,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Gabão,
Micronésia,
Niue,
Ilhas Faroé,
Ilhas Malvinas (Ilhas Falkland),
Fiji,
Nauru,
Etiópia,
Omã,
Saara Ocidental,
Eritreia,
Ilhas Pitcairn,
Dominica,
Djibuti,
Palau,
Papua-Nova Guiné,
Ilha Christmas,
Curaçao,
Coreia do Norte,
Cabo Verde,
Cazaquistão,
Palestina,
Polinésia Francesa,
Comores,
Reunião,
Ilhas Cook,
República do Congo,
Ruanda,
Congo - Kinshasa,
Sudão,
Senegal,
Camarões,
Ilhas Geórgia do Sul e Sandwich do Sul,
Costa do Marfim,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
Ilhas Cocos (Keeling),
San Marino,
Somália,
São Pedro e Miquelão,
República Centro-Africana,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Ilha Bouvet,
Butão,
Brunei,
Essuatíni,
Bolívia,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Bielorrússia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
São Bartolomeu,
Burquina Faso,
Países Baixos Caribenhos,
Tuvalu,
Benin,
Azerbaijão,
Territórios Franceses do Sul,
Antártida,
Ilhas Menores Distantes dos EUA,
Uruguai,
Samoa Americana,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Armênia,
Andorra,
Ilhas Aland,
Anguila,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Paraguai,
