Categoria: Todas as categorias

País,Typhoon Rai: (01/01/2021 – 30/11/2022)
Gabão,
Filipinas,100
Brunei,95
Santa Helena,
Malásia,41
Singapura,41
Hong Kong,33
Catar,25
China,16
Austrália,8
Irlanda,8
Nova Zelândia,8
Emirados Árabes Unidos,4
Canadá,4
Estados Unidos,4
Reino Unido,4
Indonésia,<1
Suíça,<1
Bélgica,<1
Coreia do Sul,<1
Israel,
Suécia,<1
Vietnã,<1
África do Sul,<1
Países Baixos,<1
Tailândia,<1
Índia,<1
Arábia Saudita,<1
Taiwan,<1
Polônia,<1
Alemanha,<1
Espanha,
Japão,<1
México,<1
França,<1
Itália,<1
Líbano,
Zimbábue,
República Centro-Africana,
Ilha Bouvet,
Ilhas Cocos (Keeling),
Butão,
Chile,
Barbados,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Brasil,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Bolívia,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Bermudas,
Ilhas Faroé,
Micronésia,
Belize,
Bielorrússia,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
São Bartolomeu,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Bósnia e Herzegovina,
Ilha de Man,
Bahamas,
Território Britânico do Oceano Índico,
Barein,
Irã,
Iraque,
Islândia,
Bulgária,
Bangladesh,
Jamaica,
Jersey,
Jordânia,
Burquina Faso,
Cazaquistão,
Quênia,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Países Baixos Caribenhos,
Kuwait,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Benin,
Botsuana,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Burundi,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Nigéria,
Nicarágua,
Niue,
Azerbaijão,
Noruega,
Nepal,
Nauru,
Áustria,
Omã,
Paquistão,
Panamá,
Ilhas Pitcairn,
Peru,
Antígua e Barbuda,
Palau,
Papua-Nova Guiné,
Territórios Franceses do Sul,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Antártida,
Reunião,
Romênia,
Rússia,
Ruanda,
Samoa Americana,
Sudão,
Senegal,
Armênia,
Ilhas Geórgia do Sul e Sandwich do Sul,
Argentina,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Andorra,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Albânia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Turquia,
Tuvalu,
Ilhas Aland,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Ilhas Marshall,
