Categoria: Todas as categorias

País,Storm Megi: (01/01/2022 – 30/11/2023)
Filipinas,100
Singapura,100
Malásia,<1
Países Baixos,<1
Canadá,<1
Reino Unido,<1
Estados Unidos,<1
Índia,<1
Líbano,
Zimbábue,
Samoa Americana,
Antártida,
Territórios Franceses do Sul,
Antígua e Barbuda,
Austrália,
Áustria,
Azerbaijão,
Burundi,
Bélgica,
Benin,
Países Baixos Caribenhos,
Burquina Faso,
Bangladesh,
Bulgária,
Barein,
Bahamas,
Bósnia e Herzegovina,
São Bartolomeu,
Bielorrússia,
Belize,
Bermudas,
Bolívia,
Brasil,
Barbados,
Brunei,
Butão,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
Argentina,
Ilhas Cocos (Keeling),
Suíça,
Chile,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Alemanha,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Espanha,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
França,
Ilhas Faroé,
Micronésia,
Gabão,
Emirados Árabes Unidos,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Hong Kong,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Indonésia,
Ilha de Man,
Andorra,
Território Britânico do Oceano Índico,
Irlanda,
Irã,
Iraque,
Islândia,
Israel,
Itália,
Jamaica,
Jersey,
Jordânia,
Japão,
Cazaquistão,
Quênia,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Coreia do Sul,
Kuwait,
Laos,
Aruba,
Libéria,
Líbia,
Santa Lúcia,
Armênia,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
México,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Albânia,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Nigéria,
Nicarágua,
Niue,
Ilhas Aland,
Noruega,
Nepal,
Nauru,
Nova Zelândia,
Omã,
Paquistão,
Panamá,
Ilhas Pitcairn,
Peru,
Anguila,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Romênia,
Rússia,
Ruanda,
Arábia Saudita,
Sudão,
Senegal,
Angola,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Suécia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Tailândia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Turquia,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Afeganistão,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Vietnã,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
África do Sul,
Zâmbia,
Liechtenstein,
