Categoria: Todas as categorias

País,Bangladesh Flood: (01/01/2022 – 30/11/2023)
Bangladesh,100
Reino Unido,3
Singapura,3
Catar,3
Emirados Árabes Unidos,2
Paquistão,2
Nepal,2
Kuwait,1
Austrália,<1
Malásia,<1
Nova Zelândia,<1
Índia,<1
Irlanda,<1
Canadá,<1
Hong Kong,
Filipinas,<1
Estados Unidos,<1
África do Sul,<1
Arábia Saudita,<1
Países Baixos,<1
Coreia do Sul,<1
Suécia,<1
Taiwan,
Tailândia,<1
Itália,<1
Alemanha,<1
Vietnã,
Indonésia,<1
França,<1
Japão,<1
Líbano,
Zimbábue,
Brasil,
Barbados,
Brunei,
Butão,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
Bermudas,
Ilhas Cocos (Keeling),
Suíça,
Chile,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Belize,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Espanha,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Bielorrússia,
Ilhas Faroé,
Micronésia,
Gabão,
São Bartolomeu,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Bósnia e Herzegovina,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Bahamas,
Ilha de Man,
Barein,
Território Britânico do Oceano Índico,
Bulgária,
Irã,
Iraque,
Islândia,
Israel,
Burquina Faso,
Jamaica,
Jersey,
Jordânia,
Países Baixos Caribenhos,
Cazaquistão,
Quênia,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Benin,
Bélgica,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Bolívia,
Maldivas,
México,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Burundi,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Nigéria,
Nicarágua,
Niue,
Azerbaijão,
Noruega,
Áustria,
Nauru,
Antígua e Barbuda,
Omã,
Territórios Franceses do Sul,
Panamá,
Ilhas Pitcairn,
Peru,
Antártida,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Samoa Americana,
Reunião,
Romênia,
Rússia,
Ruanda,
Armênia,
Sudão,
Senegal,
Argentina,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Andorra,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Albânia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Turquia,
Tuvalu,
Ilhas Aland,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Madagascar,
