Categoria: Todas as categorias

País,Europe Heat Wave: (01/01/2022 – 30/11/2023)
Canadá,100
Singapura,87
Irlanda,87
Quênia,62
Nova Zelândia,62
Reino Unido,62
Estônia,50
Suíça,50
Estados Unidos,50
Austrália,37
Croácia,37
Eslovênia,37
África do Sul,37
Líbano,37
Hong Kong,25
Portugal,25
Kuwait,25
Noruega,25
Israel,25
Grécia,25
Suécia,25
Filipinas,12
Sérvia,12
Dinamarca,12
Emirados Árabes Unidos,12
Finlândia,12
Países Baixos,12
Sri Lanka,12
Bélgica,12
Paquistão,12
Malásia,12
Áustria,12
Romênia,12
Índia,12
Tchéquia,<1
Hungria,<1
Itália,<1
Bangladesh,<1
Espanha,<1
Nigéria,<1
Alemanha,<1
Coreia do Sul,<1
França,<1
Tailândia,<1
Arábia Saudita,<1
Egito,<1
Indonésia,<1
Taiwan,<1
Polônia,<1
Vietnã,<1
México,<1
Brasil,<1
Japão,<1
Rússia,<1
Turquia,<1
Aruba,
Zimbábue,
Chipre,
Ilha Christmas,
Curaçao,
Djibuti,
Dominica,
Cuba,
República Dominicana,
Argélia,
Equador,
Costa Rica,
Eritreia,
Saara Ocidental,
Cabo Verde,
Comores,
Etiópia,
Colômbia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Ilhas Cook,
Ilhas Faroé,
Micronésia,
Gabão,
República do Congo,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Congo - Kinshasa,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Camarões,
Ilhas Heard e McDonald,
Honduras,
Costa do Marfim,
Haiti,
China,
Chile,
Ilha de Man,
Ilhas Cocos (Keeling),
Território Britânico do Oceano Índico,
República Centro-Africana,
Irã,
Iraque,
Islândia,
Botsuana,
Ilha Bouvet,
Jamaica,
Jersey,
Jordânia,
Butão,
Cazaquistão,
Brunei,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Barbados,
Bolívia,
Laos,
Bermudas,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Belize,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Bielorrússia,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Ilhas Cayman,
Martinica,
Maurício,
Malaui,
São Bartolomeu,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Bósnia e Herzegovina,
Nicarágua,
Niue,
Bahamas,
Barein,
Nepal,
Nauru,
Bulgária,
Omã,
Burquina Faso,
Panamá,
Ilhas Pitcairn,
Peru,
Países Baixos Caribenhos,
Palau,
Papua-Nova Guiné,
Benin,
Porto Rico,
Coreia do Norte,
Burundi,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Azerbaijão,
Antígua e Barbuda,
Ruanda,
Territórios Franceses do Sul,
Sudão,
Senegal,
Antártida,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Samoa Americana,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Armênia,
Argentina,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Andorra,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Albânia,
Tuvalu,
Ilhas Aland,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Montserrat,
