Categoria: Todas as categorias

País,Indonesia Earthquake: (01/01/2022 – 30/11/2023)
Curaçao,
Singapura,100
Maldivas,98
Malásia,57
Brunei,
Papua-Nova Guiné,
Sri Lanka,36
Austrália,36
Nova Zelândia,26
Indonésia,23
Emirados Árabes Unidos,21
Trinidad e Tobago,21
Líbano,20
Malta,
Filipinas,19
Maurício,
Irlanda,16
Paquistão,16
Catar,16
Nepal,14
Índia,10
Barein,
Hong Kong,10
Luxemburgo,
Camboja,
Zimbábue,
Canadá,9
Kuwait,9
Reino Unido,8
África do Sul,8
Omã,
Estados Unidos,7
Mianmar (Birmânia),
Albânia,
Porto Rico,
Jamaica,
China,
Bangladesh,5
Chipre,
Panamá,
Uganda,
Quênia,3
Gana,
Tailândia,3
Marrocos,3
Croácia,2
Nigéria,2
Arábia Saudita,2
Jordânia,
Noruega,2
Eslováquia,
Vietnã,2
Países Baixos,1
Coreia do Sul,1
Suíça,1
Suécia,1
Romênia,1
Portugal,1
Bélgica,1
Israel,
Taiwan,1
Iraque,
Dinamarca,
Finlândia,
Grécia,1
Turquia,1
Sérvia,
Tchéquia,
Egito,<1
Alemanha,<1
Áustria,
Cazaquistão,
Chile,
Japão,<1
Espanha,<1
Itália,<1
Hungria,
França,<1
Peru,
México,<1
Polônia,
Colômbia,
Irã,
Ucrânia,
Argentina,
Rússia,
Brasil,<1
Laos,
Aruba,
Guiné-Bissau,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Gâmbia,
Ilhas Heard e McDonald,
Honduras,
Guadalupe,
Haiti,
Guiné,
Gibraltar,
Ilha de Man,
Guernsey,
Território Britânico do Oceano Índico,
Geórgia,
Gabão,
Micronésia,
Islândia,
Ilhas Faroé,
Ilhas Malvinas (Ilhas Falkland),
Fiji,
Jersey,
Etiópia,
Estônia,
Saara Ocidental,
Eritreia,
Quirguistão,
Equador,
Quiribati,
São Cristóvão e Névis,
Argélia,
República Dominicana,
Dominica,
Djibuti,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Ilhas Cayman,
Lesoto,
Lituânia,
Ilha Christmas,
Letônia,
Macau,
São Martinho,
Cuba,
Mônaco,
Moldávia,
Madagascar,
Costa Rica,
Cabo Verde,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Comores,
Ilhas Cook,
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
República do Congo,
Malaui,
Congo - Kinshasa,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Camarões,
Nicarágua,
Niue,
Costa do Marfim,
Ilhas Cocos (Keeling),
República Centro-Africana,
Guiné Equatorial,
Botsuana,
Ilha Bouvet,
Butão,
Barbados,
Ilhas Pitcairn,
Bolívia,
Bermudas,
Palau,
Belize,
Bielorrússia,
São Bartolomeu,
Coreia do Norte,
Bósnia e Herzegovina,
Paraguai,
Palestina,
Polinésia Francesa,
Bahamas,
Reunião,
Bulgária,
Burquina Faso,
Ruanda,
Países Baixos Caribenhos,
Sudão,
Senegal,
Benin,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Burundi,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Azerbaijão,
Eslovênia,
Antígua e Barbuda,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Territórios Franceses do Sul,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Antártida,
Tunísia,
Samoa Americana,
Tuvalu,
Armênia,
Tanzânia,
Andorra,
Ilhas Aland,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Nauru,
