Categoria: Todas as categorias

País,China Drought: (01/01/2022 – 30/11/2023)
China,100
Hong Kong,63
Singapura,54
Nova Zelândia,36
Austrália,36
Canadá,27
África do Sul,18
Estados Unidos,18
Malásia,18
Reino Unido,9
Filipinas,9
Irlanda,9
Argélia,
Quênia,9
Nigéria,9
Suécia,9
Suíça,<1
Tchéquia,
Dinamarca,
Noruega,<1
Paquistão,<1
Índia,<1
Vietnã,<1
Países Baixos,<1
Taiwan,<1
Coreia do Sul,<1
Bélgica,
Tailândia,<1
Espanha,<1
Alemanha,<1
Indonésia,<1
França,<1
Irã,<1
Japão,<1
Itália,<1
Turquia,<1
México,<1
Brasil,<1
Líbano,
Zimbábue,
Ilhas Cocos (Keeling),
Botsuana,
Chile,
Ilha Bouvet,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Butão,
Brunei,
Djibuti,
Dominica,
Barbados,
República Dominicana,
Bolívia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Bermudas,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Belize,
Ilhas Faroé,
Micronésia,
Gabão,
Bielorrússia,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
São Bartolomeu,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Bósnia e Herzegovina,
Ilha de Man,
Bahamas,
Território Britânico do Oceano Índico,
Barein,
Bulgária,
Iraque,
Islândia,
Israel,
Bangladesh,
Jamaica,
Jersey,
Jordânia,
Burquina Faso,
Cazaquistão,
Países Baixos Caribenhos,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Benin,
Kuwait,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Burundi,
Ilhas Marshall,
República Centro-Africana,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Azerbaijão,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Áustria,
Nicarágua,
Niue,
Antígua e Barbuda,
Territórios Franceses do Sul,
Nepal,
Nauru,
Antártida,
Omã,
Samoa Americana,
Panamá,
Ilhas Pitcairn,
Peru,
Armênia,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Romênia,
Rússia,
Ruanda,
Arábia Saudita,
Sudão,
Senegal,
Argentina,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Emirados Árabes Unidos,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Andorra,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Albânia,
Tuvalu,
Ilhas Aland,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Macedônia do Norte,
