Categoria: Todas as categorias

País,Philippines Flood: (01/01/2023 – 30/09/2024)
Países Baixos Caribenhos,
San Marino,
Filipinas,100
Burundi,
Singapura,6
Catar,6
Emirados Árabes Unidos,4
Canadá,2
Nova Zelândia,1
Austrália,1
Hong Kong,1
Arábia Saudita,<1
Finlândia,
Nigéria,<1
Estados Unidos,<1
Reino Unido,<1
Malásia,<1
Paquistão,<1
Coreia do Sul,<1
Tailândia,<1
Vietnã,<1
Índia,<1
Alemanha,<1
Japão,<1
Indonésia,<1
França,
Bolívia,
Chile,
Líbano,
Zimbábue,
Bermudas,
Bielorrússia,
Brasil,
Barbados,
Brunei,
Butão,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
São Bartolomeu,
Ilhas Cocos (Keeling),
Suíça,
Bósnia e Herzegovina,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Bahamas,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Espanha,
Estônia,
Etiópia,
Barein,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Bulgária,
Ilhas Faroé,
Micronésia,
Gabão,
Bangladesh,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Burquina Faso,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Benin,
Ilha de Man,
Bélgica,
Território Britânico do Oceano Índico,
Irlanda,
Irã,
Iraque,
Islândia,
Israel,
Itália,
Jamaica,
Jersey,
Jordânia,
Azerbaijão,
Cazaquistão,
Quênia,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Áustria,
Kuwait,
Laos,
Aruba,
Libéria,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Belize,
Madagascar,
Maldivas,
México,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Antígua e Barbuda,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Territórios Franceses do Sul,
Nicarágua,
Niue,
Países Baixos,
Noruega,
Nepal,
Nauru,
Antártida,
Omã,
Samoa Americana,
Panamá,
Ilhas Pitcairn,
Peru,
Armênia,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Argentina,
Reunião,
Romênia,
Rússia,
Ruanda,
Andorra,
Sudão,
Senegal,
Albânia,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
Ilhas Aland,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Suécia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Anguila,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Turquia,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Angola,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
África do Sul,
Zâmbia,
Moldávia,
