Categoria: Todas as categorias

País,syrian Earthquake: (01/01/2023 – 30/09/2024)
Líbano,100
Síria,63
Líbia,45
Irlanda,45
Catar,27
Emirados Árabes Unidos,27
Canadá,18
Jordânia,18
Reino Unido,18
Austrália,18
Quênia,18
Nova Zelândia,18
Singapura,9
Estados Unidos,9
Nigéria,9
África do Sul,9
Israel,<1
Paquistão,<1
Bangladesh,<1
Suíça,<1
Filipinas,<1
Grécia,<1
Turquia,<1
Egito,<1
Arábia Saudita,<1
Países Baixos,<1
Índia,<1
Alemanha,<1
Espanha,<1
Itália,<1
França,<1
Indonésia,<1
Japão,<1
Aruba,
Zimbábue,
Butão,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
Barbados,
Ilhas Cocos (Keeling),
Brasil,
Chile,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Bolívia,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Bermudas,
Eritreia,
Saara Ocidental,
Belize,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Bielorrússia,
Ilhas Faroé,
Micronésia,
Gabão,
São Bartolomeu,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Bósnia e Herzegovina,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Hong Kong,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Bahamas,
Ilha de Man,
Barein,
Território Britânico do Oceano Índico,
Bulgária,
Irã,
Iraque,
Islândia,
Burquina Faso,
Países Baixos Caribenhos,
Jamaica,
Jersey,
Benin,
Bélgica,
Cazaquistão,
Burundi,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Coreia do Sul,
Kuwait,
Laos,
Azerbaijão,
Angola,
Áustria,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Brunei,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Malásia,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Antígua e Barbuda,
Nicarágua,
Niue,
Territórios Franceses do Sul,
Noruega,
Nepal,
Nauru,
Antártida,
Omã,
Samoa Americana,
Panamá,
Ilhas Pitcairn,
Peru,
Armênia,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Argentina,
Reunião,
Romênia,
Rússia,
Ruanda,
Andorra,
Sudão,
Senegal,
Albânia,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Suécia,
Essuatíni,
Sint Maarten,
Seicheles,
Ilhas Aland,
Ilhas Turcas e Caicos,
Chade,
Togo,
Tailândia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Anguila,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Afeganistão,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Vietnã,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
México,
