Categoria: Todas as categorias

País,Italy Flood: (01/01/2023 – 30/09/2024)
Granada,
Maurício,100
Singapura,45
Letônia,
Lituânia,36
Estônia,
Irlanda,36
Noruega,27
Reino Unido,27
Canadá,27
Itália,27
Nova Zelândia,27
Austrália,18
Hungria,18
Emirados Árabes Unidos,18
Gana,
Suíça,18
Nigéria,18
Estados Unidos,18
Croácia,9
Bulgária,9
Malásia,9
África do Sul,9
Finlândia,9
Filipinas,9
Romênia,9
Grécia,9
Países Baixos,9
Suécia,9
Tchéquia,9
Polônia,9
Áustria,9
Dinamarca,9
Marrocos,
Portugal,<1
Paquistão,<1
Alemanha,<1
Bélgica,<1
Bangladesh,<1
Índia,<1
Coreia do Sul,<1
Albânia,
Tailândia,<1
Taiwan,<1
Espanha,<1
França,<1
Indonésia,<1
Turquia,<1
Eslovênia,
Geórgia,
Rússia,
Japão,<1
México,<1
Brasil,<1
Israel,<1
Hong Kong,
Vietnã,
Líbano,
Zimbábue,
Ilhas Cayman,
Djibuti,
Dominica,
Ilha Christmas,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Curaçao,
Cuba,
Etiópia,
Costa Rica,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Cabo Verde,
Ilhas Faroé,
Micronésia,
Gabão,
Comores,
Colômbia,
Guernsey,
Ilhas Cook,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
República do Congo,
Congo - Kinshasa,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Camarões,
Ilhas Heard e McDonald,
Honduras,
Costa do Marfim,
Haiti,
China,
Chile,
Ilha de Man,
Ilhas Cocos (Keeling),
Território Britânico do Oceano Índico,
República Centro-Africana,
Irã,
Iraque,
Islândia,
Botsuana,
Ilha Bouvet,
Jamaica,
Jersey,
Jordânia,
Butão,
Cazaquistão,
Quênia,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Brunei,
Kuwait,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Lesoto,
Barbados,
Luxemburgo,
Bolívia,
Macau,
São Martinho,
Bermudas,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Belize,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Chipre,
Bielorrússia,
Malaui,
São Bartolomeu,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Bósnia e Herzegovina,
Nicarágua,
Niue,
Bahamas,
Barein,
Nepal,
Nauru,
Burquina Faso,
Omã,
Países Baixos Caribenhos,
Panamá,
Ilhas Pitcairn,
Peru,
Benin,
Palau,
Papua-Nova Guiné,
Burundi,
Porto Rico,
Coreia do Norte,
Azerbaijão,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Antígua e Barbuda,
Territórios Franceses do Sul,
Ruanda,
Arábia Saudita,
Sudão,
Senegal,
Antártida,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Samoa Americana,
Armênia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Argentina,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Andorra,
Tuvalu,
Ilhas Aland,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Martinica,
