Categoria: Todas as categorias

País,Morocco Earthquake: (01/01/2023 – 30/09/2024)
Gibraltar,
Marrocos,100
Saara Ocidental,
Gâmbia,
Santa Lúcia,
Maldivas,
Catar,22
Irlanda,21
Jersey,
Nova Caledônia,
Serra Leoa,
Líbano,18
Emirados Árabes Unidos,18
Malta,
Barbados,
Quênia,16
Sudão do Sul,
Maurício,
Reino Unido,14
Zimbábue,13
Malaui,
Lesoto,
Gana,12
Libéria,
Trinidad e Tobago,
Barein,11
Nova Zelândia,11
Albânia,
Canadá,11
Islândia,
Guiana,
Botsuana,
Uganda,9
Bahamas,
Chipre,9
Somália,
África do Sul,8
Zâmbia,
Namíbia,
Omã,8
Jamaica,
Singapura,8
Austrália,7
Nigéria,7
Brunei,
Estados Unidos,7
Kuwait,7
Fiji,
Paquistão,7
Tanzânia,6
Etiópia,
Nepal,6
Santa Helena,
Sri Lanka,5
Macedônia do Norte,
Jordânia,4
Ruanda,
Kosovo,
Filipinas,4
Portugal,4
Camboja,
Porto Rico,
Malásia,3
Tunísia,3
Luxemburgo,
China,
Croácia,3
Camarões,
Estônia,
Países Baixos,3
Israel,3
Bélgica,3
Montenegro,
Índia,3
Bangladesh,3
Afeganistão,
Suíça,2
Grécia,2
Dinamarca,2
Hong Kong,2
Arábia Saudita,2
Geórgia,
Eslovênia,
Lituânia,
Letônia,
Noruega,1
Egito,1
Suécia,1
Líbia,
Bulgária,
Bósnia e Herzegovina,
Romênia,1
Espanha,1
Iraque,1
Sérvia,
Palestina,
Finlândia,1
Argélia,1
Mianmar (Birmânia),
Tchéquia,1
Panamá,
Áustria,<1
Costa Rica,
Azerbaijão,
Hungria,<1
Eslováquia,
Coreia do Sul,<1
França,<1
Alemanha,<1
Itália,<1
Síria,
Turquia,<1
Tailândia,<1
República Dominicana,
Uzbequistão,
Indonésia,<1
Polônia,<1
Taiwan,
Vietnã,<1
Equador,
México,<1
Colômbia,
Japão,<1
Cazaquistão,
Chile,
Irã,
Rússia,
Ucrânia,
Peru,
Brasil,<1
Argentina,
Ilhas Marshall,
Aruba,
Liechtenstein,
Benin,
Macau,
São Martinho,
Países Baixos Caribenhos,
Mônaco,
Moldávia,
Madagascar,
São Cristóvão e Névis,
República Centro-Africana,
Ilha Bouvet,
Butão,
Mali,
Quiribati,
Quirguistão,
Burquina Faso,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Antígua e Barbuda,
Territórios Franceses do Sul,
Território Britânico do Oceano Índico,
Mayotte,
Ilha de Man,
Antártida,
Níger,
Ilha Norfolk,
Haiti,
Nicarágua,
Niue,
Honduras,
Ilhas Heard e McDonald,
São Bartolomeu,
Nauru,
Samoa Americana,
Guam,
Guiana Francesa,
Guatemala,
Ilhas Pitcairn,
Groenlândia,
Granada,
Palau,
Papua-Nova Guiné,
Guiné Equatorial,
Guiné-Bissau,
Coreia do Norte,
Bielorrússia,
Paraguai,
Guadalupe,
Polinésia Francesa,
Armênia,
Reunião,
Guiné,
Belize,
Bermudas,
Guernsey,
Sudão,
Senegal,
Bolívia,
Ilhas Geórgia do Sul e Sandwich do Sul,
Gabão,
Svalbard e Jan Mayen,
Ilhas Salomão,
Micronésia,
El Salvador,
San Marino,
Andorra,
São Pedro e Miquelão,
Ilhas Faroé,
Ilhas Aland,
São Tomé e Príncipe,
Suriname,
Ilhas Malvinas (Ilhas Falkland),
Eritreia,
Dominica,
Essuatíni,
Sint Maarten,
Seicheles,
Djibuti,
Ilhas Turcas e Caicos,
Chade,
Togo,
Ilhas Cayman,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Anguila,
Ilha Christmas,
Curaçao,
Tuvalu,
Cuba,
Cabo Verde,
Comores,
Ilhas Cook,
Ilhas Menores Distantes dos EUA,
Uruguai,
República do Congo,
Congo - Kinshasa,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Costa do Marfim,
Vanuatu,
Wallis e Futuna,
Samoa,
Ilhas Cocos (Keeling),
Iêmen,
Angola,
Laos,
Burundi,
