Categoria: Todas as categorias

País,Storm Daniel: (01/01/2023 – 30/09/2024)
Malta,100
Líbia,45
Grécia,17
Egito,13
Chipre,12
Tunísia,11
Irlanda,10
Países Baixos,9
Líbano,9
Etiópia,6
Israel,5
Catar,5
Jordânia,5
Reino Unido,5
Bélgica,5
Quênia,5
Marrocos,5
Emirados Árabes Unidos,3
Sri Lanka,3
Noruega,3
Austrália,3
Estados Unidos,3
Canadá,3
Sérvia,3
Suécia,3
Nova Zelândia,2
Nigéria,2
Dinamarca,2
África do Sul,2
Romênia,2
Suíça,2
Itália,2
Portugal,1
Bulgária,1
Hungria,1
Tchéquia,1
Argélia,1
Bangladesh,1
Brasil,1
Áustria,1
Finlândia,1
Filipinas,1
Paquistão,1
Turquia,1
Singapura,1
Alemanha,1
Espanha,1
Malásia,1
Índia,<1
Chile,<1
Polônia,<1
Equador,
Arábia Saudita,<1
França,<1
México,<1
Coreia do Sul,
Colômbia,<1
Vietnã,<1
Taiwan,<1
Ucrânia,<1
Argentina,<1
Indonésia,<1
Japão,<1
Aruba,
Zimbábue,
Dominica,
Djibuti,
Eritreia,
Saara Ocidental,
Ilhas Cayman,
Estônia,
Ilha Christmas,
Curaçao,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Cuba,
Ilhas Faroé,
Micronésia,
Gabão,
Costa Rica,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Cabo Verde,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Hong Kong,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Comores,
Ilhas Cook,
Ilha de Man,
República do Congo,
Território Britânico do Oceano Índico,
Congo - Kinshasa,
Irã,
Iraque,
Islândia,
Camarões,
Costa do Marfim,
Jamaica,
Jersey,
China,
Ilhas Cocos (Keeling),
Cazaquistão,
República Centro-Africana,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Botsuana,
Kuwait,
Laos,
Ilha Bouvet,
Angola,
Butão,
Santa Lúcia,
Liechtenstein,
Brunei,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Barbados,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Bolívia,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Bermudas,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
República Dominicana,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Bielorrússia,
Nicarágua,
Niue,
São Bartolomeu,
Bósnia e Herzegovina,
Nepal,
Nauru,
Bahamas,
Omã,
Barein,
Panamá,
Ilhas Pitcairn,
Peru,
Burquina Faso,
Palau,
Papua-Nova Guiné,
Países Baixos Caribenhos,
Porto Rico,
Coreia do Norte,
Benin,
Paraguai,
Palestina,
Polinésia Francesa,
Burundi,
Reunião,
Azerbaijão,
Rússia,
Ruanda,
Antígua e Barbuda,
Sudão,
Senegal,
Territórios Franceses do Sul,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Antártida,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Samoa Americana,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Tailândia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Armênia,
Andorra,
Tuvalu,
Albânia,
Tanzânia,
Uganda,
Ilhas Aland,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Belize,
