Categoria: Todas as categorias

País,Somalia Flood: (01/01/2023 – 30/09/2024)
Somália,100
Quênia,2
África do Sul,
Reino Unido,<1
Bósnia e Herzegovina,
Austrália,<1
Canadá,<1
Estados Unidos,<1
Índia,<1
Indonésia,
Líbano,
Zimbábue,
Territórios Franceses do Sul,
Antígua e Barbuda,
Samoa Americana,
Áustria,
Azerbaijão,
Burundi,
Bélgica,
Benin,
Países Baixos Caribenhos,
Burquina Faso,
Bangladesh,
Bulgária,
Barein,
Bahamas,
Armênia,
São Bartolomeu,
Bielorrússia,
Belize,
Bermudas,
Bolívia,
Brasil,
Barbados,
Brunei,
Butão,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
Argentina,
Ilhas Cocos (Keeling),
Suíça,
Chile,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Colômbia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Alemanha,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Espanha,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
França,
Ilhas Faroé,
Micronésia,
Gabão,
Emirados Árabes Unidos,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Hong Kong,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Andorra,
Ilha de Man,
Albânia,
Território Britânico do Oceano Índico,
Irlanda,
Irã,
Iraque,
Islândia,
Israel,
Itália,
Jamaica,
Jersey,
Jordânia,
Japão,
Cazaquistão,
Ilhas Aland,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Coreia do Sul,
Kuwait,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Antártida,
Lesoto,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
México,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Malásia,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Nigéria,
Nicarágua,
Niue,
Países Baixos,
Noruega,
Nepal,
Nauru,
Nova Zelândia,
Omã,
Paquistão,
Panamá,
Ilhas Pitcairn,
Peru,
Filipinas,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Romênia,
Rússia,
Ruanda,
Arábia Saudita,
Sudão,
Senegal,
Singapura,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Anguila,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Suécia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Tailândia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Turquia,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Afeganistão,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Vietnã,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Sri Lanka,
