Categoria: Todas as categorias

País,USA Drought: (01/01/2023 – 30/09/2024)
Estados Unidos,100
Canadá,<1
Austrália,<1
África do Sul,<1
Reino Unido,<1
Colômbia,
Vietnã,<1
Índia,<1
Alemanha,<1
França,<1
México,
Brasil,<1
Líbano,
Zimbábue,
Territórios Franceses do Sul,
Áustria,
Azerbaijão,
Burundi,
Bélgica,
Benin,
Países Baixos Caribenhos,
Burquina Faso,
Bangladesh,
Bulgária,
Barein,
Bahamas,
Bósnia e Herzegovina,
São Bartolomeu,
Bielorrússia,
Belize,
Bermudas,
Bolívia,
Antártida,
Barbados,
Brunei,
Butão,
Ilha Bouvet,
Botsuana,
República Centro-Africana,
Samoa Americana,
Ilhas Cocos (Keeling),
Suíça,
Chile,
China,
Costa do Marfim,
Camarões,
Congo - Kinshasa,
República do Congo,
Ilhas Cook,
Armênia,
Comores,
Cabo Verde,
Costa Rica,
Cuba,
Curaçao,
Ilha Christmas,
Ilhas Cayman,
Chipre,
Tchéquia,
Argentina,
Djibuti,
Dominica,
Dinamarca,
República Dominicana,
Argélia,
Equador,
Egito,
Eritreia,
Saara Ocidental,
Espanha,
Estônia,
Etiópia,
Finlândia,
Fiji,
Ilhas Malvinas (Ilhas Falkland),
Emirados Árabes Unidos,
Ilhas Faroé,
Micronésia,
Gabão,
Andorra,
Geórgia,
Guernsey,
Gana,
Gibraltar,
Guiné,
Guadalupe,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Grécia,
Granada,
Groenlândia,
Guatemala,
Guiana Francesa,
Guam,
Guiana,
Hong Kong,
Ilhas Heard e McDonald,
Honduras,
Croácia,
Haiti,
Hungria,
Indonésia,
Ilha de Man,
Albânia,
Território Britânico do Oceano Índico,
Irlanda,
Irã,
Iraque,
Islândia,
Israel,
Itália,
Jamaica,
Jersey,
Jordânia,
Japão,
Cazaquistão,
Quênia,
Quirguistão,
Camboja,
Quiribati,
São Cristóvão e Névis,
Coreia do Sul,
Kuwait,
Laos,
Aruba,
Angola,
Líbia,
Santa Lúcia,
Liechtenstein,
Sri Lanka,
Antígua e Barbuda,
Lituânia,
Luxemburgo,
Letônia,
Macau,
São Martinho,
Marrocos,
Mônaco,
Moldávia,
Madagascar,
Maldivas,
Ilhas Aland,
Ilhas Marshall,
Macedônia do Norte,
Mali,
Malta,
Mianmar (Birmânia),
Montenegro,
Mongólia,
Ilhas Marianas do Norte,
Moçambique,
Mauritânia,
Montserrat,
Martinica,
Maurício,
Malaui,
Malásia,
Mayotte,
Namíbia,
Nova Caledônia,
Níger,
Ilha Norfolk,
Nigéria,
Nicarágua,
Niue,
Países Baixos,
Noruega,
Nepal,
Nauru,
Nova Zelândia,
Omã,
Paquistão,
Panamá,
Ilhas Pitcairn,
Peru,
Filipinas,
Palau,
Papua-Nova Guiné,
Polônia,
Porto Rico,
Coreia do Norte,
Portugal,
Paraguai,
Palestina,
Polinésia Francesa,
Catar,
Reunião,
Romênia,
Rússia,
Ruanda,
Arábia Saudita,
Sudão,
Senegal,
Singapura,
Ilhas Geórgia do Sul e Sandwich do Sul,
Santa Helena,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
El Salvador,
San Marino,
Somália,
São Pedro e Miquelão,
Sérvia,
Sudão do Sul,
São Tomé e Príncipe,
Suriname,
Eslováquia,
Eslovênia,
Suécia,
Essuatíni,
Sint Maarten,
Seicheles,
Síria,
Ilhas Turcas e Caicos,
Chade,
Togo,
Tailândia,
Tadjiquistão,
Tokelau,
Turcomenistão,
Timor-Leste,
Tonga,
Trinidad e Tobago,
Tunísia,
Turquia,
Tuvalu,
Taiwan,
Tanzânia,
Uganda,
Ucrânia,
Ilhas Menores Distantes dos EUA,
Uruguai,
Anguila,
Uzbequistão,
Cidade do Vaticano,
São Vicente e Granadinas,
Venezuela,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Afeganistão,
Vanuatu,
Wallis e Futuna,
Samoa,
Kosovo,
Iêmen,
Libéria,
Zâmbia,
Lesoto,
