Categoria: Todas as categorias

Semana,Nepal Flood: (Mundo)
2019-12-29,0
2020-01-05,0
2020-01-12,9
2020-01-19,0
2020-01-26,0
2020-02-02,7
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,5
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,6
2020-06-14,0
2020-06-21,16
2020-06-28,6
2020-07-05,20
2020-07-12,36
2020-07-19,52
2020-07-26,27
2020-08-02,7
2020-08-09,10
2020-08-16,10
2020-08-23,59
2020-08-30,9
2020-09-06,9
2020-09-13,0
2020-09-20,8
2020-09-27,9
2020-10-04,9
2020-10-11,9
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,9
2021-01-17,0
2021-01-24,0
2021-01-31,6
2021-02-07,9
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,6
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,7
2021-06-06,0
2021-06-13,100
2021-06-20,40
2021-06-27,26
2021-07-04,13
2021-07-11,14
2021-07-18,21
2021-07-25,7
2021-08-01,10
2021-08-08,10
2021-08-15,0
2021-08-22,14
2021-08-29,16
2021-09-05,9
2021-09-12,0
2021-09-19,0
2021-09-26,7
2021-10-03,7
2021-10-10,0
2021-10-17,38
2021-10-24,10
2021-10-31,7
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
