Categoria: Todas as categorias

Semana,UK Heat Wave: (Mundo)
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,5
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,7
2020-03-01,5
2020-03-08,7
2020-03-15,0
2020-03-22,6
2020-03-29,8
2020-04-05,5
2020-04-12,0
2020-04-19,0
2020-04-26,8
2020-05-03,6
2020-05-10,10
2020-05-17,10
2020-05-24,7
2020-05-31,10
2020-06-07,12
2020-06-14,14
2020-06-21,28
2020-06-28,22
2020-07-05,24
2020-07-12,18
2020-07-19,10
2020-07-26,17
2020-08-02,24
2020-08-09,40
2020-08-16,9
2020-08-23,12
2020-08-30,14
2020-09-06,15
2020-09-13,9
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,6
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,14
2021-03-07,8
2021-03-14,8
2021-03-21,9
2021-03-28,11
2021-04-04,0
2021-04-11,10
2021-04-18,13
2021-04-25,15
2021-05-02,15
2021-05-09,18
2021-05-16,39
2021-05-23,26
2021-05-30,13
2021-06-06,12
2021-06-13,21
2021-06-20,21
2021-06-27,66
2021-07-04,53
2021-07-11,29
2021-07-18,100
2021-07-25,71
2021-08-01,68
2021-08-08,58
2021-08-15,53
2021-08-22,29
2021-08-29,20
2021-09-05,18
2021-09-12,11
2021-09-19,0
2021-09-26,6
2021-10-03,6
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
