Categoria: Todas as categorias

Semana,Somalia Drought: (Mundo)
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,15
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,19
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,21
2021-10-31,0
2021-11-07,0
2021-11-14,19
2021-11-21,27
2021-11-28,27
2021-12-05,23
2021-12-12,0
2021-12-19,27
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,18
2022-01-30,27
2022-02-06,27
2022-02-13,27
2022-02-20,27
2022-02-27,21
2022-03-06,25
2022-03-13,45
2022-03-20,66
2022-03-27,41
2022-04-03,32
2022-04-10,58
2022-04-17,31
2022-04-24,22
2022-05-01,22
2022-05-08,23
2022-05-15,18
2022-05-22,27
2022-05-29,34
2022-06-05,36
2022-06-12,31
2022-06-19,24
2022-06-26,23
2022-07-03,24
2022-07-10,22
2022-07-17,20
2022-07-24,50
2022-07-31,17
2022-08-07,30
2022-08-14,29
2022-08-21,26
2022-08-28,24
2022-09-04,35
2022-09-11,46
2022-09-18,37
2022-09-25,21
2022-10-02,100
2022-10-09,50
2022-10-16,60
2022-10-23,29
2022-10-30,38
2022-11-06,40
2022-11-13,63
2022-11-20,23
2022-11-27,51
