Categoria: Todas as categorias

Semana,India landslide: (Mundo)
2020-12-27,6
2021-01-03,9
2021-01-10,6
2021-01-17,6
2021-01-24,9
2021-01-31,11
2021-02-07,36
2021-02-14,10
2021-02-21,13
2021-02-28,8
2021-03-07,5
2021-03-14,11
2021-03-21,7
2021-03-28,0
2021-04-04,6
2021-04-11,6
2021-04-18,8
2021-04-25,7
2021-05-02,11
2021-05-09,9
2021-05-16,8
2021-05-23,7
2021-05-30,14
2021-06-06,8
2021-06-13,13
2021-06-20,13
2021-06-27,9
2021-07-04,12
2021-07-11,15
2021-07-18,24
2021-07-25,100
2021-08-01,24
2021-08-08,33
2021-08-15,14
2021-08-22,18
2021-08-29,13
2021-09-05,16
2021-09-12,15
2021-09-19,17
2021-09-26,18
2021-10-03,12
2021-10-10,9
2021-10-17,16
2021-10-24,12
2021-10-31,9
2021-11-07,8
2021-11-14,0
2021-11-21,12
2021-11-28,8
2021-12-05,6
2021-12-12,9
2021-12-19,8
2021-12-26,13
2022-01-02,12
2022-01-09,9
2022-01-16,9
2022-01-23,13
2022-01-30,10
2022-02-06,10
2022-02-13,15
2022-02-20,11
2022-02-27,13
2022-03-06,9
2022-03-13,18
2022-03-20,12
2022-03-27,10
2022-04-03,10
2022-04-10,8
2022-04-17,11
2022-04-24,12
2022-05-01,8
2022-05-08,9
2022-05-15,12
2022-05-22,11
2022-05-29,14
2022-06-05,14
2022-06-12,16
2022-06-19,17
2022-06-26,29
2022-07-03,35
2022-07-10,17
2022-07-17,13
2022-07-24,19
2022-07-31,20
2022-08-07,15
2022-08-14,13
2022-08-21,17
2022-08-28,21
2022-09-04,17
2022-09-11,17
2022-09-18,21
2022-09-25,18
2022-10-02,15
2022-10-09,15
2022-10-16,10
2022-10-23,9
2022-10-30,11
2022-11-06,12
2022-11-13,11
2022-11-20,11
2022-11-27,13
