Categoria: Todas as categorias

Semana,United States Tornado: (Mundo)
2020-12-27,0
2021-01-03,4
2021-01-10,8
2021-01-17,10
2021-01-24,13
2021-01-31,7
2021-02-07,7
2021-02-14,8
2021-02-21,7
2021-02-28,9
2021-03-07,14
2021-03-14,17
2021-03-21,17
2021-03-28,14
2021-04-04,8
2021-04-11,12
2021-04-18,14
2021-04-25,10
2021-05-02,14
2021-05-09,8
2021-05-16,10
2021-05-23,9
2021-05-30,5
2021-06-06,11
2021-06-13,10
2021-06-20,11
2021-06-27,6
2021-07-04,5
2021-07-11,9
2021-07-18,11
2021-07-25,13
2021-08-01,0
2021-08-08,7
2021-08-15,9
2021-08-22,6
2021-08-29,14
2021-09-05,11
2021-09-12,7
2021-09-19,6
2021-09-26,8
2021-10-03,9
2021-10-10,11
2021-10-17,16
2021-10-24,10
2021-10-31,8
2021-11-07,9
2021-11-14,8
2021-11-21,0
2021-11-28,0
2021-12-05,46
2021-12-12,100
2021-12-19,8
2021-12-26,11
2022-01-02,13
2022-01-09,15
2022-01-16,14
2022-01-23,9
2022-01-30,5
2022-02-06,8
2022-02-13,13
2022-02-20,13
2022-02-27,15
2022-03-06,18
2022-03-13,15
2022-03-20,28
2022-03-27,27
2022-04-03,24
2022-04-10,26
2022-04-17,20
2022-04-24,25
2022-05-01,32
2022-05-08,23
2022-05-15,17
2022-05-22,20
2022-05-29,17
2022-06-05,9
2022-06-12,14
2022-06-19,9
2022-06-26,7
2022-07-03,9
2022-07-10,6
2022-07-17,6
2022-07-24,7
2022-07-31,7
2022-08-07,10
2022-08-14,7
2022-08-21,8
2022-08-28,8
2022-09-04,10
2022-09-11,10
2022-09-18,11
2022-09-25,22
