Categoria: Todas as categorias

Semana,United States Wildfire: (Mundo)
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,45
2021-07-18,100
2021-07-25,67
2021-08-01,54
2021-08-08,52
2021-08-15,0
2021-08-22,0
2021-08-29,43
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,27
2022-02-20,33
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,32
2022-04-10,0
2022-04-17,31
2022-04-24,0
2022-05-01,22
2022-05-08,37
2022-05-15,29
2022-05-22,27
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,27
2022-07-17,0
2022-07-24,0
2022-07-31,30
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,31
2022-09-11,36
2022-09-18,0
2022-09-25,0
