Categoria: Todas as categorias

Semana,South Africa Drought: (Mundo)
2020-12-27,0
2021-01-03,1
2021-01-10,0
2021-01-17,0
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,2
2021-02-21,4
2021-02-28,13
2021-03-07,22
2021-03-14,26
2021-03-21,27
2021-03-28,24
2021-04-04,24
2021-04-11,11
2021-04-18,6
2021-04-25,2
2021-05-02,2
2021-05-09,2
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,0
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,1
2021-08-08,1
2021-08-15,0
2021-08-22,1
2021-08-29,1
2021-09-05,0
2021-09-12,1
2021-09-19,2
2021-09-26,0
2021-10-03,1
2021-10-10,0
2021-10-17,1
2021-10-24,1
2021-10-31,1
2021-11-07,2
2021-11-14,1
2021-11-21,1
2021-11-28,0
2021-12-05,0
2021-12-12,2
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,1
2022-01-16,1
2022-01-23,6
2022-01-30,15
2022-02-06,28
2022-02-13,58
2022-02-20,98
2022-02-27,100
2022-03-06,60
2022-03-13,29
2022-03-20,11
2022-03-27,4
2022-04-03,5
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,1
2022-06-05,2
2022-06-12,2
2022-06-19,2
2022-06-26,0
2022-07-03,2
2022-07-10,1
2022-07-17,1
2022-07-24,0
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,2
2022-08-28,2
2022-09-04,2
2022-09-11,1
2022-09-18,2
2022-09-25,1
2022-10-02,1
2022-10-09,1
2022-10-16,2
2022-10-23,2
2022-10-30,1
2022-11-06,2
2022-11-13,2
2022-11-20,1
2022-11-27,1
