Categoria: Todas as categorias

Semana,United States Drought: (Mundo)
2020-12-27,0
2021-01-03,18
2021-01-10,18
2021-01-17,40
2021-01-24,39
2021-01-31,0
2021-02-07,30
2021-02-14,0
2021-02-21,40
2021-02-28,35
2021-03-07,25
2021-03-14,32
2021-03-21,36
2021-03-28,37
2021-04-04,38
2021-04-11,41
2021-04-18,43
2021-04-25,30
2021-05-02,40
2021-05-09,43
2021-05-16,43
2021-05-23,39
2021-05-30,43
2021-06-06,60
2021-06-13,64
2021-06-20,65
2021-06-27,50
2021-07-04,26
2021-07-11,21
2021-07-18,41
2021-07-25,36
2021-08-01,25
2021-08-08,42
2021-08-15,30
2021-08-22,0
2021-08-29,32
2021-09-05,28
2021-09-12,44
2021-09-19,0
2021-09-26,23
2021-10-03,45
2021-10-10,21
2021-10-17,37
2021-10-24,30
2021-10-31,25
2021-11-07,34
2021-11-14,27
2021-11-21,0
2021-11-28,25
2021-12-05,41
2021-12-12,36
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,34
2022-01-16,23
2022-01-23,30
2022-01-30,25
2022-02-06,28
2022-02-13,32
2022-02-20,53
2022-02-27,42
2022-03-06,46
2022-03-13,49
2022-03-20,47
2022-03-27,68
2022-04-03,68
2022-04-10,57
2022-04-17,68
2022-04-24,100
2022-05-01,78
2022-05-08,87
2022-05-15,58
2022-05-22,65
2022-05-29,50
2022-06-05,38
2022-06-12,54
2022-06-19,55
2022-06-26,55
2022-07-03,43
2022-07-10,33
2022-07-17,66
2022-07-24,35
2022-07-31,32
2022-08-07,38
2022-08-14,69
2022-08-21,61
2022-08-28,49
2022-09-04,60
2022-09-11,48
2022-09-18,35
2022-09-25,42
