Categoria: Todas as categorias

Semana,Australia Flood: (Mundo)
2021-12-26,2
2022-01-02,4
2022-01-09,5
2022-01-16,3
2022-01-23,4
2022-01-30,5
2022-02-06,3
2022-02-13,4
2022-02-20,11
2022-02-27,100
2022-03-06,65
2022-03-13,22
2022-03-20,13
2022-03-27,17
2022-04-03,11
2022-04-10,7
2022-04-17,7
2022-04-24,7
2022-05-01,7
2022-05-08,9
2022-05-15,8
2022-05-22,7
2022-05-29,5
2022-06-05,5
2022-06-12,5
2022-06-19,4
2022-06-26,5
2022-07-03,25
2022-07-10,8
2022-07-17,7
2022-07-24,5
2022-07-31,6
2022-08-07,5
2022-08-14,6
2022-08-21,6
2022-08-28,7
2022-09-04,5
2022-09-11,5
2022-09-18,6
2022-09-25,6
2022-10-02,8
2022-10-09,23
2022-10-16,26
2022-10-23,18
2022-10-30,12
2022-11-06,8
2022-11-13,19
2022-11-20,11
2022-11-27,7
2022-12-04,5
2022-12-11,7
2022-12-18,5
2022-12-25,5
2023-01-01,8
2023-01-08,10
2023-01-15,6
2023-01-22,6
2023-01-29,6
2023-02-05,4
2023-02-12,5
2023-02-19,5
2023-02-26,5
2023-03-05,6
2023-03-12,7
2023-03-19,4
2023-03-26,4
2023-04-02,3
2023-04-09,4
2023-04-16,4
2023-04-23,3
2023-04-30,4
2023-05-07,4
2023-05-14,4
2023-05-21,4
2023-05-28,5
2023-06-04,5
2023-06-11,4
2023-06-18,4
2023-06-25,4
