Categoria: Todas as categorias

Semana,Japan Earthquake: (Mundo)
2021-12-26,2
2022-01-02,2
2022-01-09,3
2022-01-16,7
2022-01-23,4
2022-01-30,2
2022-02-06,3
2022-02-13,3
2022-02-20,3
2022-02-27,3
2022-03-06,3
2022-03-13,100
2022-03-20,9
2022-03-27,6
2022-04-03,5
2022-04-10,3
2022-04-17,4
2022-04-24,4
2022-05-01,4
2022-05-08,3
2022-05-15,3
2022-05-22,3
2022-05-29,2
2022-06-05,2
2022-06-12,2
2022-06-19,3
2022-06-26,2
2022-07-03,2
2022-07-10,1
2022-07-17,2
2022-07-24,4
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,2
2022-08-28,3
2022-09-04,3
2022-09-11,3
2022-09-18,7
2022-09-25,3
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,3
2022-10-30,4
2022-11-06,4
2022-11-13,6
2022-11-20,3
2022-11-27,3
2022-12-04,3
2022-12-11,3
2022-12-18,3
2022-12-25,2
2023-01-01,2
2023-01-08,3
2023-01-15,4
2023-01-22,3
2023-01-29,4
2023-02-05,24
2023-02-12,10
2023-02-19,10
2023-02-26,13
2023-03-05,6
2023-03-12,4
2023-03-19,5
2023-03-26,6
2023-04-02,3
2023-04-09,3
2023-04-16,3
2023-04-23,3
2023-04-30,11
2023-05-07,13
2023-05-14,4
2023-05-21,10
2023-05-28,5
2023-06-04,5
2023-06-11,7
2023-06-18,3
2023-06-25,2
