Categoria: Todas as categorias

Semana,South Africa Flood: (Mundo)
2021-12-26,7
2022-01-02,0
2022-01-09,12
2022-01-16,11
2022-01-23,7
2022-01-30,11
2022-02-06,13
2022-02-13,14
2022-02-20,21
2022-02-27,15
2022-03-06,18
2022-03-13,11
2022-03-20,6
2022-03-27,7
2022-04-03,7
2022-04-10,96
2022-04-17,100
2022-04-24,37
2022-05-01,24
2022-05-08,16
2022-05-15,18
2022-05-22,21
2022-05-29,12
2022-06-05,11
2022-06-12,9
2022-06-19,18
2022-06-26,9
2022-07-03,6
2022-07-10,14
2022-07-17,9
2022-07-24,12
2022-07-31,14
2022-08-07,14
2022-08-14,7
2022-08-21,15
2022-08-28,14
2022-09-04,10
2022-09-11,9
2022-09-18,11
2022-09-25,10
2022-10-02,12
2022-10-09,14
2022-10-16,7
2022-10-23,7
2022-10-30,13
2022-11-06,14
2022-11-13,15
2022-11-20,5
2022-11-27,10
2022-12-04,12
2022-12-11,12
2022-12-18,6
2022-12-25,6
2023-01-01,7
2023-01-08,7
2023-01-15,5
2023-01-22,6
2023-01-29,9
2023-02-05,13
2023-02-12,24
2023-02-19,19
2023-02-26,11
2023-03-05,6
2023-03-12,9
2023-03-19,22
2023-03-26,7
2023-04-02,0
2023-04-09,7
2023-04-16,15
2023-04-23,14
2023-04-30,15
2023-05-07,13
2023-05-14,10
2023-05-21,14
2023-05-28,12
2023-06-04,5
2023-06-11,14
2023-06-18,16
2023-06-25,11
2023-07-02,7
2023-07-09,8
2023-07-16,10
2023-07-23,6
2023-07-30,8
2023-08-06,8
2023-08-13,7
2023-08-20,0
2023-08-27,11
2023-09-03,8
2023-09-10,16
2023-09-17,24
2023-09-24,25
2023-10-01,12
2023-10-08,12
2023-10-15,9
2023-10-22,14
2023-10-29,12
2023-11-05,12
2023-11-12,10
2023-11-19,7
2023-11-26,7
