Categoria: Todas as categorias

Semana,China Flood: (Mundo)
2021-12-26,21
2022-01-02,29
2022-01-09,26
2022-01-16,22
2022-01-23,24
2022-01-30,22
2022-02-06,28
2022-02-13,25
2022-02-20,24
2022-02-27,40
2022-03-06,24
2022-03-13,28
2022-03-20,27
2022-03-27,27
2022-04-03,29
2022-04-10,26
2022-04-17,27
2022-04-24,32
2022-05-01,30
2022-05-08,29
2022-05-15,37
2022-05-22,25
2022-05-29,23
2022-06-05,27
2022-06-12,33
2022-06-19,87
2022-06-26,47
2022-07-03,42
2022-07-10,26
2022-07-17,31
2022-07-24,33
2022-07-31,50
2022-08-07,40
2022-08-14,42
2022-08-21,43
2022-08-28,100
2022-09-04,67
2022-09-11,41
2022-09-18,47
2022-09-25,55
2022-10-02,32
2022-10-09,36
2022-10-16,31
2022-10-23,32
2022-10-30,22
2022-11-06,26
2022-11-13,29
2022-11-20,22
2022-11-27,24
2022-12-04,24
2022-12-11,24
2022-12-18,22
2022-12-25,21
2023-01-01,20
2023-01-08,25
2023-01-15,22
2023-01-22,21
2023-01-29,29
2023-02-05,37
2023-02-12,23
2023-02-19,27
2023-02-26,31
2023-03-05,26
2023-03-12,31
2023-03-19,27
2023-03-26,24
2023-04-02,21
2023-04-09,28
2023-04-16,27
2023-04-23,22
2023-04-30,22
2023-05-07,31
2023-05-14,33
2023-05-21,31
2023-05-28,23
2023-06-04,27
2023-06-11,23
2023-06-18,25
2023-06-25,17
