Categoria: Todas as categorias

Semana,Europe Heat Wave: (Mundo)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,1
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,<1
2022-03-20,0
2022-03-27,<1
2022-04-03,<1
2022-04-10,0
2022-04-17,0
2022-04-24,<1
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,0
2022-06-05,1
2022-06-12,5
2022-06-19,6
2022-06-26,2
2022-07-03,2
2022-07-10,14
2022-07-17,100
2022-07-24,15
2022-07-31,5
2022-08-07,5
2022-08-14,4
2022-08-21,2
2022-08-28,1
2022-09-04,2
2022-09-11,1
2022-09-18,1
2022-09-25,1
2022-10-02,1
2022-10-09,1
2022-10-16,1
2022-10-23,0
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,1
2022-12-04,<1
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,16
2023-01-08,1
2023-01-15,<1
2023-01-22,<1
2023-01-29,0
2023-02-05,1
2023-02-12,0
2023-02-19,<1
2023-02-26,<1
2023-03-05,<1
2023-03-12,<1
2023-03-19,0
2023-03-26,0
2023-04-02,<1
2023-04-09,1
2023-04-16,1
2023-04-23,1
2023-04-30,1
2023-05-07,0
2023-05-14,1
2023-05-21,1
2023-05-28,<1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,25
2023-07-16,36
2023-07-23,13
2023-07-30,3
2023-08-06,2
2023-08-13,1
2023-08-20,2
2023-08-27,1
2023-09-03,2
2023-09-10,1
2023-09-17,1
2023-09-24,<1
2023-10-01,1
2023-10-08,1
2023-10-15,1
2023-10-22,0
2023-10-29,<1
2023-11-05,<1
2023-11-12,0
2023-11-19,0
2023-11-26,1
