Categoria: Todas as categorias

Semana,Nigeria Flood: (Mundo)
2021-12-26,0
2022-01-02,0
2022-01-09,2
2022-01-16,3
2022-01-23,3
2022-01-30,0
2022-02-06,3
2022-02-13,1
2022-02-20,2
2022-02-27,2
2022-03-06,1
2022-03-13,0
2022-03-20,1
2022-03-27,0
2022-04-03,0
2022-04-10,1
2022-04-17,1
2022-04-24,2
2022-05-01,2
2022-05-08,0
2022-05-15,1
2022-05-22,0
2022-05-29,0
2022-06-05,1
2022-06-12,0
2022-06-19,0
2022-06-26,1
2022-07-03,2
2022-07-10,3
2022-07-17,2
2022-07-24,2
2022-07-31,2
2022-08-07,0
2022-08-14,2
2022-08-21,2
2022-08-28,2
2022-09-04,2
2022-09-11,3
2022-09-18,5
2022-09-25,7
2022-10-02,14
2022-10-09,50
2022-10-16,100
2022-10-23,80
2022-10-30,27
2022-11-06,17
2022-11-13,9
2022-11-20,7
2022-11-27,5
2022-12-04,4
2022-12-11,5
2022-12-18,4
2022-12-25,3
2023-01-01,3
2023-01-08,2
2023-01-15,3
2023-01-22,3
2023-01-29,2
2023-02-05,2
2023-02-12,2
2023-02-19,2
2023-02-26,2
2023-03-05,4
2023-03-12,4
2023-03-19,3
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,3
2023-04-30,2
2023-05-07,2
2023-05-14,3
2023-05-21,2
2023-05-28,2
2023-06-04,2
2023-06-11,3
2023-06-18,3
2023-06-25,3
2023-07-02,5
2023-07-09,2
2023-07-16,4
2023-07-23,2
2023-07-30,2
2023-08-06,2
2023-08-13,3
2023-08-20,2
2023-08-27,7
2023-09-03,5
2023-09-10,6
2023-09-17,4
2023-09-24,5
2023-10-01,4
2023-10-08,6
2023-10-15,4
2023-10-22,2
2023-10-29,2
2023-11-05,3
2023-11-12,2
2023-11-19,2
2023-11-26,3
