Categoria: Todas as categorias

Semana,Indonesia Earthquake: (Mundo)
2021-12-26,4
2022-01-02,1
2022-01-09,7
2022-01-16,2
2022-01-23,1
2022-01-30,2
2022-02-06,1
2022-02-13,1
2022-02-20,13
2022-02-27,2
2022-03-06,2
2022-03-13,3
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,1
2022-06-05,1
2022-06-12,1
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,<1
2022-07-17,1
2022-07-24,1
2022-07-31,1
2022-08-07,1
2022-08-14,1
2022-08-21,3
2022-08-28,2
2022-09-04,1
2022-09-11,7
2022-09-18,2
2022-09-25,2
2022-10-02,2
2022-10-09,1
2022-10-16,1
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,4
2022-11-20,100
2022-11-27,8
2022-12-04,6
2022-12-11,3
2022-12-18,1
2022-12-25,1
2023-01-01,2
2023-01-08,26
2023-01-15,5
2023-01-22,2
2023-01-29,2
2023-02-05,13
2023-02-12,8
2023-02-19,6
2023-02-26,3
2023-03-05,2
2023-03-12,2
2023-03-19,2
2023-03-26,2
2023-04-02,6
2023-04-09,8
2023-04-16,3
2023-04-23,14
2023-04-30,2
2023-05-07,2
2023-05-14,1
2023-05-21,1
2023-05-28,1
2023-06-04,2
2023-06-11,1
2023-06-18,1
2023-06-25,3
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,1
2023-08-13,1
2023-08-20,1
2023-08-27,15
2023-09-03,2
2023-09-10,7
2023-09-17,2
2023-09-24,1
2023-10-01,1
2023-10-08,1
2023-10-15,1
2023-10-22,1
2023-10-29,1
2023-11-05,6
2023-11-12,2
2023-11-19,3
2023-11-26,2
