Categoria: Todas as categorias

Semana,Ethiopia Drought: (Mundo)
2021-12-26,0
2022-01-02,0
2022-01-09,51
2022-01-16,0
2022-01-23,0
2022-01-30,45
2022-02-06,84
2022-02-13,87
2022-02-20,61
2022-02-27,60
2022-03-06,78
2022-03-13,81
2022-03-20,100
2022-03-27,77
2022-04-03,92
2022-04-10,45
2022-04-17,71
2022-04-24,71
2022-05-01,56
2022-05-08,65
2022-05-15,71
2022-05-22,44
2022-05-29,71
2022-06-05,44
2022-06-12,53
2022-06-19,64
2022-06-26,31
2022-07-03,49
2022-07-10,0
2022-07-17,35
2022-07-24,48
2022-07-31,55
2022-08-07,0
2022-08-14,43
2022-08-21,60
2022-08-28,41
2022-09-04,0
2022-09-11,58
2022-09-18,56
2022-09-25,40
2022-10-02,58
2022-10-09,39
2022-10-16,48
2022-10-23,47
2022-10-30,58
2022-11-06,41
2022-11-13,45
2022-11-20,47
2022-11-27,53
2022-12-04,60
2022-12-11,58
2022-12-18,0
2022-12-25,46
2023-01-01,0
2023-01-08,47
2023-01-15,45
2023-01-22,37
2023-01-29,34
2023-02-05,0
2023-02-12,49
2023-02-19,61
2023-02-26,71
2023-03-05,71
2023-03-12,74
2023-03-19,74
2023-03-26,58
2023-04-02,61
2023-04-09,62
2023-04-16,48
2023-04-23,64
2023-04-30,68
2023-05-07,59
2023-05-14,50
2023-05-21,39
2023-05-28,27
2023-06-04,59
2023-06-11,28
2023-06-18,41
2023-06-25,0
2023-07-02,0
2023-07-09,39
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,33
2023-09-24,0
2023-10-01,29
2023-10-08,44
2023-10-15,33
2023-10-22,28
2023-10-29,35
2023-11-05,50
2023-11-12,35
2023-11-19,0
2023-11-26,0
