Categoria: Todas as categorias

Semana,Brazil Drought: (Mundo)
2021-12-26,54
2022-01-02,54
2022-01-09,50
2022-01-16,50
2022-01-23,46
2022-01-30,46
2022-02-06,65
2022-02-13,61
2022-02-20,56
2022-02-27,48
2022-03-06,30
2022-03-13,39
2022-03-20,0
2022-03-27,46
2022-04-03,96
2022-04-10,0
2022-04-17,30
2022-04-24,0
2022-05-01,38
2022-05-08,37
2022-05-15,29
2022-05-22,0
2022-05-29,0
2022-06-05,27
2022-06-12,36
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,31
2022-07-17,0
2022-07-24,0
2022-07-31,28
2022-08-07,27
2022-08-14,60
2022-08-21,37
2022-08-28,31
2022-09-04,45
2022-09-11,50
2022-09-18,42
2022-09-25,27
2022-10-02,0
2022-10-09,39
2022-10-16,47
2022-10-23,0
2022-10-30,37
2022-11-06,37
2022-11-13,0
2022-11-20,40
2022-11-27,41
2022-12-04,0
2022-12-11,50
2022-12-18,48
2022-12-25,44
2023-01-01,33
2023-01-08,41
2023-01-15,48
2023-01-22,53
2023-01-29,58
2023-02-05,50
2023-02-12,32
2023-02-19,44
2023-02-26,37
2023-03-05,38
2023-03-12,0
2023-03-19,100
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,43
2023-04-30,28
2023-05-07,26
2023-05-14,36
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
