Categoria: Todas as categorias

Semana,China Drought: (Mundo)
2021-12-26,0
2022-01-02,0
2022-01-09,2
2022-01-16,2
2022-01-23,0
2022-01-30,0
2022-02-06,2
2022-02-13,2
2022-02-20,1
2022-02-27,3
2022-03-06,2
2022-03-13,0
2022-03-20,3
2022-03-27,2
2022-04-03,2
2022-04-10,2
2022-04-17,3
2022-04-24,3
2022-05-01,3
2022-05-08,3
2022-05-15,2
2022-05-22,2
2022-05-29,2
2022-06-05,3
2022-06-12,2
2022-06-19,2
2022-06-26,1
2022-07-03,2
2022-07-10,2
2022-07-17,2
2022-07-24,2
2022-07-31,2
2022-08-07,5
2022-08-14,19
2022-08-21,64
2022-08-28,100
2022-09-04,33
2022-09-11,16
2022-09-18,11
2022-09-25,9
2022-10-02,7
2022-10-09,5
2022-10-16,6
2022-10-23,6
2022-10-30,6
2022-11-06,5
2022-11-13,5
2022-11-20,3
2022-11-27,3
2022-12-04,3
2022-12-11,3
2022-12-18,2
2022-12-25,2
2023-01-01,2
2023-01-08,3
2023-01-15,4
2023-01-22,3
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,5
2023-02-26,4
2023-03-05,5
2023-03-12,4
2023-03-19,5
2023-03-26,4
2023-04-02,3
2023-04-09,4
2023-04-16,3
2023-04-23,3
2023-04-30,3
2023-05-07,4
2023-05-14,2
2023-05-21,3
2023-05-28,3
2023-06-04,3
2023-06-11,1
2023-06-18,2
2023-06-25,2
2023-07-02,2
2023-07-09,3
2023-07-16,2
2023-07-23,2
2023-07-30,2
2023-08-06,2
2023-08-13,2
2023-08-20,4
2023-08-27,2
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,0
2023-10-01,2
2023-10-08,2
2023-10-15,1
2023-10-22,2
2023-10-29,1
2023-11-05,2
2023-11-12,2
2023-11-19,1
2023-11-26,1
