Categoria: Todas as categorias

Semana,Philippines Flood: (Mundo)
2023-01-01,14
2023-01-08,15
2023-01-15,14
2023-01-22,11
2023-01-29,11
2023-02-05,8
2023-02-12,10
2023-02-19,11
2023-02-26,10
2023-03-05,11
2023-03-12,9
2023-03-19,9
2023-03-26,10
2023-04-02,6
2023-04-09,9
2023-04-16,9
2023-04-23,7
2023-04-30,9
2023-05-07,11
2023-05-14,8
2023-05-21,14
2023-05-28,9
2023-06-04,9
2023-06-11,8
2023-06-18,7
2023-06-25,5
2023-07-02,5
2023-07-09,11
2023-07-16,7
2023-07-23,13
2023-07-30,17
2023-08-06,9
2023-08-13,8
2023-08-20,6
2023-08-27,15
2023-09-03,12
2023-09-10,16
2023-09-17,14
2023-09-24,14
2023-10-01,12
2023-10-08,13
2023-10-15,15
2023-10-22,10
2023-10-29,6
2023-11-05,9
2023-11-12,9
2023-11-19,13
2023-11-26,9
2023-12-03,12
2023-12-10,6
2023-12-17,6
2023-12-24,4
2023-12-31,7
2024-01-07,9
2024-01-14,10
2024-01-21,10
2024-01-28,10
2024-02-04,10
2024-02-11,12
2024-02-18,9
2024-02-25,7
2024-03-03,10
2024-03-10,9
2024-03-17,8
2024-03-24,5
2024-03-31,8
2024-04-07,6
2024-04-14,12
2024-04-21,12
2024-04-28,13
2024-05-05,10
2024-05-12,8
2024-05-19,9
2024-05-26,7
2024-06-02,6
2024-06-09,6
2024-06-16,4
2024-06-23,7
2024-06-30,6
2024-07-07,6
2024-07-14,8
2024-07-21,100
2024-07-28,38
2024-08-04,17
2024-08-11,15
2024-08-18,15
2024-08-25,16
2024-09-01,43
2024-09-08,19
2024-09-15,24
2024-09-22,16
2024-09-29,15
