Categoria: Todas as categorias

Semana,Earthquake Turkey: (Mundo)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,15
2023-02-26,9
2023-03-05,6
2023-03-12,7
2023-03-19,0
2023-03-26,16
2023-04-02,32
2023-04-09,13
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,5
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,100
2023-08-13,48
2023-08-20,50
2023-08-27,21
2023-09-03,0
2023-09-10,15
2023-09-17,12
2023-09-24,5
2023-10-01,0
2023-10-08,6
2023-10-15,14
2023-10-22,12
2023-10-29,12
2023-11-05,36
2023-11-12,13
2023-11-19,22
2023-11-26,14
2023-12-03,76
2023-12-10,22
2023-12-17,71
2023-12-24,27
2023-12-31,38
2024-01-07,25
2024-01-14,17
2024-01-21,44
2024-01-28,22
2024-02-04,30
2024-02-11,10
2024-02-18,12
2024-02-25,13
2024-03-03,56
2024-03-10,17
2024-03-17,7
2024-03-24,7
2024-03-31,10
2024-04-07,0
2024-04-14,59
2024-04-21,10
2024-04-28,10
2024-05-05,6
2024-05-12,0
2024-05-19,7
2024-05-26,6
2024-06-02,6
2024-06-09,9
2024-06-16,0
2024-06-23,28
2024-06-30,13
2024-07-07,18
2024-07-14,16
2024-07-21,28
2024-07-28,14
2024-08-04,19
2024-08-11,43
2024-08-18,10
2024-08-25,8
2024-09-01,19
2024-09-08,9
2024-09-15,4
2024-09-22,6
2024-09-29,8
