Categoria: Todas as categorias

Semana,Storm Freddy: (Mundo)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,14
2023-02-19,88
2023-02-26,28
2023-03-05,42
2023-03-12,100
2023-03-19,16
2023-03-26,6
2023-04-02,5
2023-04-09,8
2023-04-16,7
2023-04-23,5
2023-04-30,7
2023-05-07,5
2023-05-14,0
2023-05-21,6
2023-05-28,5
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,4
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,4
2023-08-27,5
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,5
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,4
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,5
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,4
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,4
2024-04-28,25
2024-05-05,7
2024-05-12,5
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,5
2024-08-11,0
2024-08-18,0
2024-08-25,5
2024-09-01,0
2024-09-08,0
2024-09-15,1
2024-09-22,3
2024-09-29,4
