Categoria: Todas as categorias

Semana,Storm United States: (Mundo)
2023-01-01,67
2023-01-08,55
2023-01-15,42
2023-01-22,49
2023-01-29,63
2023-02-05,44
2023-02-12,55
2023-02-19,98
2023-02-26,77
2023-03-05,59
2023-03-12,55
2023-03-19,50
2023-03-26,73
2023-04-02,65
2023-04-09,49
2023-04-16,81
2023-04-23,67
2023-04-30,63
2023-05-07,67
2023-05-14,57
2023-05-21,43
2023-05-28,31
2023-06-04,29
2023-06-11,31
2023-06-18,38
2023-06-25,30
2023-07-02,35
2023-07-09,35
2023-07-16,31
2023-07-23,20
2023-07-30,29
2023-08-06,31
2023-08-13,22
2023-08-20,64
2023-08-27,50
2023-09-03,38
2023-09-10,49
2023-09-17,43
2023-09-24,53
2023-10-01,39
2023-10-08,37
2023-10-15,46
2023-10-22,52
2023-10-29,49
2023-11-05,42
2023-11-12,61
2023-11-19,36
2023-11-26,53
2023-12-03,50
2023-12-10,60
2023-12-17,32
2023-12-24,15
2023-12-31,47
2024-01-07,95
2024-01-14,59
2024-01-21,51
2024-01-28,46
2024-02-04,63
2024-02-11,58
2024-02-18,49
2024-02-25,64
2024-03-03,79
2024-03-10,52
2024-03-17,58
2024-03-24,56
2024-03-31,69
2024-04-07,71
2024-04-14,65
2024-04-21,57
2024-04-28,76
2024-05-05,93
2024-05-12,83
2024-05-19,48
2024-05-26,37
2024-06-02,42
2024-06-09,38
2024-06-16,35
2024-06-23,32
2024-06-30,40
2024-07-07,47
2024-07-14,31
2024-07-21,30
2024-07-28,42
2024-08-04,73
2024-08-11,28
2024-08-18,28
2024-08-25,29
2024-09-01,36
2024-09-08,61
2024-09-15,35
2024-09-22,98
2024-09-29,100
