Categoria: Todas as categorias

Semana,Italy Flood: (Mundo)
2023-01-01,1
2023-01-08,2
2023-01-15,1
2023-01-22,2
2023-01-29,1
2023-02-05,4
2023-02-12,3
2023-02-19,2
2023-02-26,1
2023-03-05,1
2023-03-12,2
2023-03-19,1
2023-03-26,1
2023-04-02,0
2023-04-09,2
2023-04-16,1
2023-04-23,1
2023-04-30,3
2023-05-07,1
2023-05-14,100
2023-05-21,43
2023-05-28,10
2023-06-04,4
2023-06-11,3
2023-06-18,2
2023-06-25,1
2023-07-02,2
2023-07-09,2
2023-07-16,4
2023-07-23,8
2023-07-30,3
2023-08-06,3
2023-08-13,6
2023-08-20,1
2023-08-27,3
2023-09-03,2
2023-09-10,3
2023-09-17,2
2023-09-24,2
2023-10-01,3
2023-10-08,2
2023-10-15,2
2023-10-22,1
2023-10-29,8
2023-11-05,7
2023-11-12,3
2023-11-19,2
2023-11-26,1
2023-12-03,2
2023-12-10,2
2023-12-17,1
2023-12-24,0
2023-12-31,2
2024-01-07,3
2024-01-14,3
2024-01-21,2
2024-01-28,2
2024-02-04,2
2024-02-11,2
2024-02-18,2
2024-02-25,3
2024-03-03,2
2024-03-10,2
2024-03-17,1
2024-03-24,2
2024-03-31,3
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,4
2024-05-19,2
2024-05-26,3
2024-06-02,18
2024-06-09,4
2024-06-16,3
2024-06-23,3
2024-06-30,15
2024-07-07,5
2024-07-14,5
2024-07-21,5
2024-07-28,3
2024-08-04,3
2024-08-11,3
2024-08-18,8
2024-08-25,4
2024-09-01,4
2024-09-08,3
2024-09-15,23
2024-09-22,11
2024-09-29,5
