Categoria: Todas as categorias

Semana,India Flood: (Mundo)
2023-01-01,12
2023-01-08,13
2023-01-15,13
2023-01-22,11
2023-01-29,12
2023-02-05,14
2023-02-12,12
2023-02-19,12
2023-02-26,15
2023-03-05,11
2023-03-12,13
2023-03-19,10
2023-03-26,10
2023-04-02,8
2023-04-09,7
2023-04-16,8
2023-04-23,9
2023-04-30,10
2023-05-07,9
2023-05-14,12
2023-05-21,12
2023-05-28,12
2023-06-04,14
2023-06-11,17
2023-06-18,17
2023-06-25,15
2023-07-02,15
2023-07-09,100
2023-07-16,51
2023-07-23,37
2023-07-30,20
2023-08-06,16
2023-08-13,22
2023-08-20,18
2023-08-27,13
2023-09-03,12
2023-09-10,18
2023-09-17,15
2023-09-24,14
2023-10-01,22
2023-10-08,16
2023-10-15,13
2023-10-22,11
2023-10-29,12
2023-11-05,12
2023-11-12,9
2023-11-19,12
2023-11-26,11
2023-12-03,26
2023-12-10,16
2023-12-17,17
2023-12-24,13
2023-12-31,13
2024-01-07,12
2024-01-14,11
2024-01-21,9
2024-01-28,11
2024-02-04,10
2024-02-11,10
2024-02-18,9
2024-02-25,9
2024-03-03,9
2024-03-10,9
2024-03-17,8
2024-03-24,7
2024-03-31,7
2024-04-07,7
2024-04-14,12
2024-04-21,11
2024-04-28,8
2024-05-05,9
2024-05-12,10
2024-05-19,9
2024-05-26,14
2024-06-02,13
2024-06-09,10
2024-06-16,11
2024-06-23,15
2024-06-30,19
2024-07-07,19
2024-07-14,14
2024-07-21,16
2024-07-28,27
2024-08-04,20
2024-08-11,14
2024-08-18,29
2024-08-25,24
2024-09-01,18
2024-09-08,15
2024-09-15,17
2024-09-22,15
2024-09-29,21
