Categoria: Todas as categorias

Semana,Morocco Earthquake: (Mundo)
2023-01-01,0
2023-01-08,<1
2023-01-15,<1
2023-01-22,0
2023-01-29,0
2023-02-05,1
2023-02-12,<1
2023-02-19,<1
2023-02-26,<1
2023-03-05,<1
2023-03-12,<1
2023-03-19,<1
2023-03-26,<1
2023-04-02,<1
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,<1
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,<1
2023-07-23,0
2023-07-30,<1
2023-08-06,0
2023-08-13,0
2023-08-20,<1
2023-08-27,0
2023-09-03,71
2023-09-10,100
2023-09-17,9
2023-09-24,4
2023-10-01,2
2023-10-08,2
2023-10-15,1
2023-10-22,1
2023-10-29,1
2023-11-05,1
2023-11-12,1
2023-11-19,1
2023-11-26,1
2023-12-03,1
2023-12-10,<1
2023-12-17,<1
2023-12-24,<1
2023-12-31,1
2024-01-07,<1
2024-01-14,<1
2024-01-21,<1
2024-01-28,<1
2024-02-04,<1
2024-02-11,<1
2024-02-18,<1
2024-02-25,<1
2024-03-03,<1
2024-03-10,<1
2024-03-17,<1
2024-03-24,<1
2024-03-31,<1
2024-04-07,<1
2024-04-14,<1
2024-04-21,<1
2024-04-28,<1
2024-05-05,<1
2024-05-12,<1
2024-05-19,<1
2024-05-26,<1
2024-06-02,<1
2024-06-09,<1
2024-06-16,<1
2024-06-23,<1
2024-06-30,<1
2024-07-07,<1
2024-07-14,<1
2024-07-21,<1
2024-07-28,<1
2024-08-04,<1
2024-08-11,<1
2024-08-18,<1
2024-08-25,<1
2024-09-01,<1
2024-09-08,<1
2024-09-15,<1
2024-09-22,<1
2024-09-29,<1
