Categoria: Todas as categorias

Semana,Storm Daniel: (Mundo)
2023-01-01,2
2023-01-08,1
2023-01-15,2
2023-01-22,2
2023-01-29,1
2023-02-05,1
2023-02-12,2
2023-02-19,2
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,5
2023-03-26,9
2023-04-02,15
2023-04-09,4
2023-04-16,2
2023-04-23,2
2023-04-30,1
2023-05-07,2
2023-05-14,1
2023-05-21,1
2023-05-28,2
2023-06-04,2
2023-06-11,1
2023-06-18,2
2023-06-25,1
2023-07-02,2
2023-07-09,1
2023-07-16,2
2023-07-23,1
2023-07-30,2
2023-08-06,1
2023-08-13,1
2023-08-20,2
2023-08-27,2
2023-09-03,34
2023-09-10,100
2023-09-17,15
2023-09-24,6
2023-10-01,4
2023-10-08,3
2023-10-15,3
2023-10-22,3
2023-10-29,4
2023-11-05,2
2023-11-12,2
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,2
2023-12-24,2
2023-12-31,3
2024-01-07,4
2024-01-14,3
2024-01-21,3
2024-01-28,3
2024-02-04,2
2024-02-11,2
2024-02-18,2
2024-02-25,2
2024-03-03,2
2024-03-10,2
2024-03-17,2
2024-03-24,3
2024-03-31,2
2024-04-07,2
2024-04-14,4
2024-04-21,4
2024-04-28,2
2024-05-05,5
2024-05-12,3
2024-05-19,2
2024-05-26,7
2024-06-02,5
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
2024-07-07,2
2024-07-14,2
2024-07-21,2
2024-07-28,3
2024-08-04,4
2024-08-11,2
2024-08-18,2
2024-08-25,2
2024-09-01,2
2024-09-08,2
2024-09-15,2
2024-09-22,3
2024-09-29,2
