Categoria: Todas as categorias

Semana,USA Drought: (Mundo)
2023-01-01,80
2023-01-08,94
2023-01-15,81
2023-01-22,31
2023-01-29,28
2023-02-05,50
2023-02-12,0
2023-02-19,73
2023-02-26,75
2023-03-05,63
2023-03-12,91
2023-03-19,100
2023-03-26,55
2023-04-02,53
2023-04-09,80
2023-04-16,40
2023-04-23,57
2023-04-30,76
2023-05-07,53
2023-05-14,39
2023-05-21,49
2023-05-28,75
2023-06-04,80
2023-06-11,47
2023-06-18,32
2023-06-25,60
2023-07-02,42
2023-07-09,47
2023-07-16,66
2023-07-23,55
2023-07-30,43
2023-08-06,65
2023-08-13,53
2023-08-20,65
2023-08-27,60
2023-09-03,49
2023-09-10,0
2023-09-17,51
2023-09-24,0
2023-10-01,49
2023-10-08,31
2023-10-15,28
2023-10-22,0
2023-10-29,27
2023-11-05,34
2023-11-12,52
2023-11-19,47
2023-11-26,0
2023-12-03,38
2023-12-10,0
2023-12-17,30
2023-12-24,33
2023-12-31,36
2024-01-07,0
2024-01-14,41
2024-01-21,36
2024-01-28,37
2024-02-04,58
2024-02-11,0
2024-02-18,31
2024-02-25,36
2024-03-03,49
2024-03-10,40
2024-03-17,81
2024-03-24,41
2024-03-31,38
2024-04-07,44
2024-04-14,37
2024-04-21,52
2024-04-28,70
2024-05-05,0
2024-05-12,32
2024-05-19,63
2024-05-26,0
2024-06-02,37
2024-06-09,47
2024-06-16,48
2024-06-23,52
2024-06-30,50
2024-07-07,52
2024-07-14,0
2024-07-21,46
2024-07-28,68
2024-08-04,58
2024-08-11,0
2024-08-18,36
2024-08-25,32
2024-09-01,0
2024-09-08,44
2024-09-15,30
2024-09-22,41
2024-09-29,40
